"Feeder:
InternalId","Feeder:
ObjectId","Feeder:
ID","Feeder:
Name","Feeder:
ColdLoadSetNo","Feeder:
FeederCode","Feeder:
FeederMVARPercent","Feeder:
FeederMWPercent","Feeder:
InverseColdModel","Feeder:
Parent","Feeder:
ObjectType"
748837,{912c276a-b3de-46f9-9927-c642e7d1a8ea},_912c276a-b3de-46f9-9927-c642e7d1a8ea,1,1,1,33.329999999999998,33.329999999999998,false,_6c3512f1-efb1-4b1f-8769-2fcfd65daa39,Feeder
748838,{eeeb2706-4c6f-49ca-bf5f-b89e19104b38},_eeeb2706-4c6f-49ca-bf5f-b89e19104b38,2,1,2,33.329999999999998,33.329999999999998,false,_6c3512f1-efb1-4b1f-8769-2fcfd65daa39,Feeder
748839,{a6b94d88-e98b-4ab0-a17f-13b186d8ff90},_a6b94d88-e98b-4ab0-a17f-13b186d8ff90,3,1,3,33.329999999999998,33.329999999999998,false,_6c3512f1-efb1-4b1f-8769-2fcfd65daa39,Feeder
748842,{f24344bc-6130-4301-a77d-4a52f05a613d},_f24344bc-6130-4301-a77d-4a52f05a613d,1,1,1,33.329999999999998,33.329999999999998,false,_0cd8f0e3-74ca-4183-8578-94254f07b539,Feeder
748843,{d9bf9b92-879f-4cb0-a2c5-dae9fcb99164},_d9bf9b92-879f-4cb0-a2c5-dae9fcb99164,2,1,2,33.329999999999998,33.329999999999998,false,_0cd8f0e3-74ca-4183-8578-94254f07b539,Feeder
748844,{e8913bda-910f-46c2-b1d7-b88d15c06a6f},_e8913bda-910f-46c2-b1d7-b88d15c06a6f,3,1,3,33.329999999999998,33.329999999999998,false,_0cd8f0e3-74ca-4183-8578-94254f07b539,Feeder
749219,{6c3c760c-a87b-4443-8a8b-11cbefc8c8dc},_6c3c760c-a87b-4443-8a8b-11cbefc8c8dc,1,1,1,33.329999999999998,33.329999999999998,false,_1a91d9dc-e392-48d6-837c-9e49c9d2fef5,Feeder
749220,{5a5e56b9-6016-4e2c-80ad-a195f77d2e1b},_5a5e56b9-6016-4e2c-80ad-a195f77d2e1b,2,1,2,33.329999999999998,33.329999999999998,false,_1a91d9dc-e392-48d6-837c-9e49c9d2fef5,Feeder
749221,{26883112-c9f2-46ed-8a3a-ac7377ec4f3b},_26883112-c9f2-46ed-8a3a-ac7377ec4f3b,3,1,3,33.329999999999998,33.329999999999998,false,_1a91d9dc-e392-48d6-837c-9e49c9d2fef5,Feeder
749354,{446366c5-a893-4afa-9e96-106f390e9b1d},_446366c5-a893-4afa-9e96-106f390e9b1d,1,1,1,33.329999999999998,33.329999999999998,false,_1bbadcb7-ce19-4d3a-b7bf-5b7dfa45fd97,Feeder
749355,{f065f376-bf29-471a-8472-a23e1af2b967},_f065f376-bf29-471a-8472-a23e1af2b967,2,1,2,33.329999999999998,33.329999999999998,false,_1bbadcb7-ce19-4d3a-b7bf-5b7dfa45fd97,Feeder
749356,{36ab1eca-5330-49e5-b7f4-5d16b33c0488},_36ab1eca-5330-49e5-b7f4-5d16b33c0488,3,1,3,33.329999999999998,33.329999999999998,false,_1bbadcb7-ce19-4d3a-b7bf-5b7dfa45fd97,Feeder
749499,{9ae30ac3-819e-446c-8920-d3992e128f22},_9ae30ac3-819e-446c-8920-d3992e128f22,1,1,1,33.329999999999998,33.329999999999998,false,_5b427489-4f69-42f9-b1b8-0402e88cda15,Feeder
749500,{4f6ffa17-b617-4272-aee7-d4c1f1828c1e},_4f6ffa17-b617-4272-aee7-d4c1f1828c1e,2,1,2,33.329999999999998,33.329999999999998,false,_5b427489-4f69-42f9-b1b8-0402e88cda15,Feeder
749501,{bd852a15-1091-48e8-b707-e184410449f2},_bd852a15-1091-48e8-b707-e184410449f2,3,1,3,33.329999999999998,33.329999999999998,false,_5b427489-4f69-42f9-b1b8-0402e88cda15,Feeder
749699,{0e9c0ad9-da87-4fb7-969e-d430b83aa875},_0e9c0ad9-da87-4fb7-969e-d430b83aa875,1,1,1,33.329999999999998,33.329999999999998,false,_95d4e0ea-6a34-4318-a640-b8b1a25b0316,Feeder
749700,{c277a8e4-9b47-4e89-a103-8505b60f1fc7},_c277a8e4-9b47-4e89-a103-8505b60f1fc7,2,1,2,33.329999999999998,33.329999999999998,false,_95d4e0ea-6a34-4318-a640-b8b1a25b0316,Feeder
749701,{9e02df6a-9c1f-4d78-a9a0-a7b794b68121},_9e02df6a-9c1f-4d78-a9a0-a7b794b68121,3,1,3,33.329999999999998,33.329999999999998,false,_95d4e0ea-6a34-4318-a640-b8b1a25b0316,Feeder
749939,{35eb55cf-081c-4894-9875-9ba9f5fcb711},_35eb55cf-081c-4894-9875-9ba9f5fcb711,1,1,1,33.329999999999998,33.329999999999998,false,_2786e2d7-6070-4080-ba03-24e803e46122,Feeder
749940,{7d69daf3-5dc7-4430-965c-f1c289b93ef3},_7d69daf3-5dc7-4430-965c-f1c289b93ef3,2,1,2,33.329999999999998,33.329999999999998,false,_2786e2d7-6070-4080-ba03-24e803e46122,Feeder
749941,{219f1132-5f33-45dc-935a-9eeb1e347b55},_219f1132-5f33-45dc-935a-9eeb1e347b55,3,1,3,33.329999999999998,33.329999999999998,false,_2786e2d7-6070-4080-ba03-24e803e46122,Feeder
749944,{06227896-3670-434e-a7c5-5462c31842b3},_06227896-3670-434e-a7c5-5462c31842b3,1,1,1,33.329999999999998,33.329999999999998,false,_d7be713b-9754-40c5-9616-d28de2140732,Feeder
749945,{565fe853-128a-4b4f-9bf0-98314456035e},_565fe853-128a-4b4f-9bf0-98314456035e,2,1,2,33.329999999999998,33.329999999999998,false,_d7be713b-9754-40c5-9616-d28de2140732,Feeder
749946,{735dd764-86b6-4036-9a3c-114e7bfad77c},_735dd764-86b6-4036-9a3c-114e7bfad77c,3,1,3,33.329999999999998,33.329999999999998,false,_d7be713b-9754-40c5-9616-d28de2140732,Feeder
749951,{aed796c2-3ffe-4a34-8733-645c6c889f3e},_aed796c2-3ffe-4a34-8733-645c6c889f3e,1,1,1,33.329999999999998,33.329999999999998,false,_08970a09-6038-4032-93bd-a204d22d582e,Feeder
749952,{fbde98f7-e634-4603-8ad5-c96a9383413e},_fbde98f7-e634-4603-8ad5-c96a9383413e,2,1,2,33.329999999999998,33.329999999999998,false,_08970a09-6038-4032-93bd-a204d22d582e,Feeder
749953,{d9633b8a-2700-4486-95b2-d375fcd8b6c3},_d9633b8a-2700-4486-95b2-d375fcd8b6c3,3,1,3,33.329999999999998,33.329999999999998,false,_08970a09-6038-4032-93bd-a204d22d582e,Feeder
750470,{c03fad79-ac3f-42a7-97af-a3eafe500390},_c03fad79-ac3f-42a7-97af-a3eafe500390,1,1,1,33.329999999999998,33.329999999999998,false,_dd3226bb-7b3a-4abf-8c66-26b6def380c2,Feeder
750471,{b09cc656-626a-49d3-9a02-a2586b372830},_b09cc656-626a-49d3-9a02-a2586b372830,2,1,2,33.329999999999998,33.329999999999998,false,_dd3226bb-7b3a-4abf-8c66-26b6def380c2,Feeder
750472,{6466982c-e61f-4457-aa48-7406271f35bc},_6466982c-e61f-4457-aa48-7406271f35bc,3,1,3,33.329999999999998,33.329999999999998,false,_dd3226bb-7b3a-4abf-8c66-26b6def380c2,Feeder
750475,{f032d26e-f846-4fa1-b2f8-b628fa16383b},_f032d26e-f846-4fa1-b2f8-b628fa16383b,1,1,1,33.329999999999998,33.329999999999998,false,_ff040293-0d47-4635-a95c-776e0173b871,Feeder
750476,{64d617d8-b76e-48bf-a168-eda190275f30},_64d617d8-b76e-48bf-a168-eda190275f30,2,1,2,33.329999999999998,33.329999999999998,false,_ff040293-0d47-4635-a95c-776e0173b871,Feeder
750477,{fcac3107-0bc1-489d-be0a-c682e30762e4},_fcac3107-0bc1-489d-be0a-c682e30762e4,3,1,3,33.329999999999998,33.329999999999998,false,_ff040293-0d47-4635-a95c-776e0173b871,Feeder
750819,{a9e98e79-0233-489a-9631-d90e52339ffd},_a9e98e79-0233-489a-9631-d90e52339ffd,1,1,1,33.329999999999998,33.329999999999998,false,_72acd1b2-73ba-4d8b-82e2-1db874612934,Feeder
750820,{b9ee4abb-ba1f-45cf-93f6-f0a8e9851013},_b9ee4abb-ba1f-45cf-93f6-f0a8e9851013,2,1,2,33.329999999999998,33.329999999999998,false,_72acd1b2-73ba-4d8b-82e2-1db874612934,Feeder
750821,{2b9f58ad-0355-4d57-b0a3-38bf73602f52},_2b9f58ad-0355-4d57-b0a3-38bf73602f52,3,1,3,33.329999999999998,33.329999999999998,false,_72acd1b2-73ba-4d8b-82e2-1db874612934,Feeder
750824,{223ec41a-80fd-4279-80b0-cbf0d7b0d320},_223ec41a-80fd-4279-80b0-cbf0d7b0d320,1,1,1,33.329999999999998,33.329999999999998,false,_d933fdac-6133-4046-8f8b-00f8b7fb3169,Feeder
750825,{19c4699f-acc1-4228-964e-8670a862bb3a},_19c4699f-acc1-4228-964e-8670a862bb3a,2,1,2,33.329999999999998,33.329999999999998,false,_d933fdac-6133-4046-8f8b-00f8b7fb3169,Feeder
750826,{eba3c05d-3059-43fe-b30a-ad1d74943712},_eba3c05d-3059-43fe-b30a-ad1d74943712,3,1,3,33.329999999999998,33.329999999999998,false,_d933fdac-6133-4046-8f8b-00f8b7fb3169,Feeder
751101,{6913f80a-ef3f-4213-8103-2d648b5ab795},_6913f80a-ef3f-4213-8103-2d648b5ab795,1,1,1,33.329999999999998,33.329999999999998,false,_c26d7e96-30cb-4ac0-8ab0-1d8c49223348,Feeder
751102,{d4a179ed-3286-4494-9673-f6ebe0c56b3c},_d4a179ed-3286-4494-9673-f6ebe0c56b3c,2,1,2,33.329999999999998,33.329999999999998,false,_c26d7e96-30cb-4ac0-8ab0-1d8c49223348,Feeder
751103,{2c8a5476-9232-4519-9304-079c9a3bb1ac},_2c8a5476-9232-4519-9304-079c9a3bb1ac,3,1,3,33.329999999999998,33.329999999999998,false,_c26d7e96-30cb-4ac0-8ab0-1d8c49223348,Feeder
757326,{31bc0391-bf36-4750-95ca-6ad3795e5cf1},_31bc0391-bf36-4750-95ca-6ad3795e5cf1,1,1,1,33.329999999999998,33.329999999999998,false,_ce367685-5e22-44a0-b677-df446126198e,Feeder
757327,{df76180d-b005-4893-9256-6e22633df4ec},_df76180d-b005-4893-9256-6e22633df4ec,2,1,2,33.329999999999998,33.329999999999998,false,_ce367685-5e22-44a0-b677-df446126198e,Feeder
757328,{9c863a49-7946-4f07-9d33-41464138df0e},_9c863a49-7946-4f07-9d33-41464138df0e,3,1,3,33.329999999999998,33.329999999999998,false,_ce367685-5e22-44a0-b677-df446126198e,Feeder
757548,{2f0a7a76-4bb3-4fec-a85d-6e52e1ea33c9},_2f0a7a76-4bb3-4fec-a85d-6e52e1ea33c9,1,1,1,33.329999999999998,33.329999999999998,false,_cdca8920-fbc9-4e14-9e26-59330ece6f4a,Feeder
757549,{2148a9f7-de25-4357-8c4f-b4bcace4ec37},_2148a9f7-de25-4357-8c4f-b4bcace4ec37,2,1,2,33.329999999999998,33.329999999999998,false,_cdca8920-fbc9-4e14-9e26-59330ece6f4a,Feeder
