"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","ReactiveCapabilityCurve:
Path","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","SynchronousMachine:
ReactiveCapabilityCurveMemberOfSynchronousMachine:
ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType"
_084a7720-65d6-433f-9a5a-54bd298fca5b,839309,UN-04,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.MVAr Capability Curves/01PTA-U4,839473,01PTA-U4,_de4f0fdd-b5b0-4ccf-aeec-e46f56a454ce,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_a7450c93-d45d-4ffb-8379-a3311ef3aca8,839311,UN-05,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.MVAr Capability Curves/01PTA-U5,839479,01PTA-U5,_2f980793-daa8-41a4-a7da-b04564b08b63,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_be743ba2-7f58-4cda-b4b3-d98b56c36f5f,839313,UN-06,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.MVAr Capability Curves/01PTA-U6,839485,01PTA-U6,_baaa20f4-c907-42d1-b8c5-8af8c1df489b,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_a2a3f2ef-33d5-48ae-931f-d4040818dd72,839315,UN-07,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.MVAr Capability Curves/01PTA-U7,839491,01PTA-U7,_9ee768eb-4dca-4282-8668-cfb863179a90,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_443e3207-8962-4e5e-920b-52579c979676,839317,UN-08,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.MVAr Capability Curves/01PTA-U8,839497,01PTA-U8,_71e8e231-113f-4931-ba4a-2429889069f2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_a68e7a47-dcf4-4b9f-a60c-dabed5a50dae,839319,UN-09,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.MVAr Capability Curves/01PTA-U9,839503,01PTA-U9,_db7af0b8-2a19-4b16-a46c-efbbdb347d3e,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_05e1260d-ae7a-4409-82fd-b5b7da80634e,839659,UN-01,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,Network/.MVAr Capability Curves/01PTL-U1,839680,01PTL-U1,_a5c95073-64ee-4227-a0eb-4512da858b7e,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_3871c6cf-7bd4-4e14-8dce-a662eae5ee8a,839661,UN-02,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,Network/.MVAr Capability Curves/01PTL-U2,839686,01PTL-U2,_0a4c99c1-9115-41f8-97e2-e980ccabf7cd,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_e5a3544d-aabc-4af2-866e-3917886412af,839663,UN-03,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,Network/.MVAr Capability Curves/01PTL-U3,839692,01PTL-U3,_ed80f816-a664-416c-92ef-d0402c620729,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_c72b17e3-505e-4fb4-8e2e-a61261598419,853144,UN-01,_fb5f389c-9b06-4aab-bae1-0bbe7b4a9f0d,SynchronousMachine,Network/.MVAr Capability Curves/01REM-U1,853529,01REM-U1,_2c3df96d-5844-47c6-b51c-f4c17757ff56,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
