ID,Path,Name,Description,ElementName,ElementText,IncludeInSE,MeasurementType,mRID,InternalId,Parent,ObjectType
_31c73b50-1e6c-4e19-9957-05f7c2162162,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53050  23CA/P,P,01   IZT CD-53050              MW,P (1631),CD-53050              MW,true,Real power,,4433690,_41204481-28be-41b8-99b4-8a81ebbed4ad,Analog
_c5263100-01f2-4f3d-928b-1de9d85c2287,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53070  23CA/P,P,01   IZT CD-53070             MW,P (1631),CD-53070             MW,true,Real power,,4433699,_fbe5fe51-27f7-463b-a0ca-aead7e3e5c8d,Analog
_5a0fc69a-b81a-4a25-acf8-8b0974caae73,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53070  23CA/Q,Q,01   IZT CD-53070            MVAR,Q (1642),CD-53070            MVAR,true,Reactive power,,4433708,_fbe5fe51-27f7-463b-a0ca-aead7e3e5c8d,Analog
_f530e74b-d313-4bf0-a96f-51cead0dda22,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53080  23CA/P,P,01   IZT CD-53080             MW,P (1631),CD-53080             MW,true,Real power,,4433717,_322f7012-a89a-4070-a278-67b78afdf7e2,Analog
_6ff61095-c5a4-4c81-8499-1b275454e564,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53090  23CA/P,P,01   IZT CD-53090             MW,P (1631),CD-53090             MW,true,Real power,,4433726,_fb4ef003-ca31-434d-bc2f-4888f8290f96,Analog
_bb9a282f-0854-4357-a194-7cb3b56cb31e,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53100  23CA/P,P,01   IZT CD-53100             MW,P (1631),CD-53100             MW,true,Real power,,4433735,_c7c83136-5206-4fed-b191-c709528aa56a,Analog
_a0379fe1-28b4-4d75-8fe4-26a5b7774012,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53110  23CA/P,P,01   IZT CD-53110             MW,P (1631),CD-53110             MW,true,Real power,,4433744,_3e67549d-080d-4315-81b9-96b518953fc5,Analog
_b3031c0c-2025-4c7a-b0b5-4ed9e6b41023,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53120  23CA/P,P,01   IZT CD-53120             MW,P (1631),CD-53120             MW,true,Real power,,4433753,_02e74a07-53ab-47aa-86a5-405528c9de18,Analog
_8bdeacdf-4cdc-4bdd-8b33-14c51790e951,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53135  23CA/P,P,01   IZT CD-53135              MW,P (1631),CD-53135              MW,true,Real power,,4433762,_9e965fa4-7947-4873-b2f6-6f56db71875f,Analog
_30d3b9d4-f5e6-4be1-9ccf-4740144c699c,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53135  23CA/Q,Q,01   IZT CD-53135            MVAR,Q (1642),CD-53135            MVAR,true,Reactive power,,4433771,_9e965fa4-7947-4873-b2f6-6f56db71875f,Analog
_e41dfb41-9ee8-4a29-b038-275b1fb02543,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53145  23CA/P,P,01   IZT CD-53145              MW,P (1631),CD-53145              MW,true,Real power,,4433780,_ec9f1728-2c67-44f1-886a-cc71b8925c2c,Analog
_1d1deb6d-34fb-47ef-af2c-fdd0741984ac,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53145  23CA/Q,Q,01   IZT CD-53145            MVAR,Q (1642),CD-53145            MVAR,true,Reactive power,,4433789,_ec9f1728-2c67-44f1-886a-cc71b8925c2c,Analog
_9e4977df-337e-4176-8742-e56cbb92002a,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53155  23CA/P,P,01   IZT CD-53155              MW,P (1631),CD-53155              MW,true,Real power,,4433798,_65baa47a-1878-4edd-b651-33437eb45e7a,Analog
_c02b7bf8-41bc-41b5-ad46-0b978908a64b,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53155  23CA/Q,Q,01   IZT CD-53155            MVAR,Q (1642),CD-53155            MVAR,true,Reactive power,,4433807,_65baa47a-1878-4edd-b651-33437eb45e7a,Analog
_61a4e60d-b4b9-49d0-86c5-8d99d0bd8f8b,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53165  23CA/P,P,01   IZT CD-53165              MW,P (1631),CD-53165              MW,true,Real power,,4433816,_7edd6bd4-42e5-4541-aecb-636c1750222d,Analog
_ae5cbc73-a852-4016-a666-b33d11fe2936,Network/Companies/SIN/01CEL/01   IZT/23/IZT-53165  23CA/Q,Q,01   IZT CD-53165            MVAR,Q (1642),CD-53165            MVAR,true,Reactive power,,4433825,_7edd6bd4-42e5-4541-aecb-636c1750222d,Analog
_0562a003-df3a-4cca-bd08-e0bae0f8daf0,Network/Companies/SIN/01CEL/01   IZT/230/CLIENTE2  ETR/P,P,01   IZT LT-93D90 ETR          MW,P (1631),LT-93D90 ETR          MW,true,Real power,,4433870,_a3820470-43aa-4a54-a6b5-1abc30ce06bf,Analog
_7147b3b6-26db-424b-8bb7-8451f2966391,Network/Companies/SIN/01CEL/01   IZT/230/CLIENTE2  ETR/Q,Q,01   IZT LT-93D90 ETR        MVAR,Q (1642),LT-93D90 ETR        MVAR,true,Reactive power,,4433879,_a3820470-43aa-4a54-a6b5-1abc30ce06bf,Analog
_b4297e14-6952-4b93-87e4-65cdcdeb0e9a,Network/Companies/SIN/01CEL/01   JAS/85/CARGA  73S90/P,P,01   JAS LT-73S90 JDV          MW,P (1631),LT-73S90 JDV          MW,true,Real power,,4438141,_16074218-503b-4636-a836-dbfcda8648d8,Analog
_0c721fab-8b0e-40fe-802f-f66e2e9d46bb,Network/Companies/SIN/01CEL/01   JAS/85/CARGA  73S90/Q,Q,01   JAS LT-73S90 JDV        MVAR,Q (1642),LT-73S90 JDV        MVAR,true,Reactive power,,4438150,_16074218-503b-4636-a836-dbfcda8648d8,Analog
_30126d74-5133-4917-b786-30190c0d0338,Network/Companies/SIN/01CEL/01   JAS/85/CARGA  73X10/P,P,01   JAS LT-73X10 CYO          MW,P (1631),LT-73X10 CYO          MW,true,Real power,,4438159,_33eb8b32-01e0-4ff3-8096-c56a88a313d0,Analog
_54f756f5-fd23-4599-964e-d09df54811b5,Network/Companies/SIN/01CEL/01   JAS/85/CARGA  73X10/Q,Q,01   JAS LT-73X10 CYO        MVAR,Q (1642),LT-73X10 CYO        MVAR,true,Reactive power,,4438168,_33eb8b32-01e0-4ff3-8096-c56a88a313d0,Analog
_64edee87-4e27-4ec4-ba77-d3be3f06c5e9,Network/Companies/SIN/01CEL/01   JDV/85/CRG JDV/P,P,01   JDV CR-CARGA JDV          MW,P (1631),CR-CARGA JDV          MW,true,Real power,,4439162,_27dd960b-8bf2-48a3-8252-9c20d9626a49,Analog
_f35733c9-1fc8-45a6-a779-d200fa3d3ba0,Network/Companies/SIN/01CEL/01   JLC/230/CARGA 1 CLIENTE/P,P,01   JLC CR-CARGA JLC          MW,P (1631),CR-CARGA JLC          MW,true,Real power,,4439913,_4a53d848-21e1-4a26-93bb-965c4740ae8c,Analog
_ca05f716-629d-4507-80f2-0c39655eef07,Network/Companies/SIN/01CEL/01   JMX/85/CARG JMX/P,P,01   JMX LT-76010 JMX          MW,P (1631),LT-76010 JMX          MW,true,Real power,,4440394,_ce08bd1c-08bc-483f-aaa8-3f160a320af8,Analog
_2bf37426-4e6a-46de-baf9-7099760baea9,Network/Companies/SIN/01CEL/01   JMX/85/CARG JMX/Q,Q,01   JMX LT-76010 JMX        MVAR,Q (1642),LT-76010 JMX        MVAR,true,Reactive power,,4440403,_ce08bd1c-08bc-483f-aaa8-3f160a320af8,Analog
_74329fca-dcfd-49da-afe5-c0c9d893b5e8,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-01/P,P,01   JOL UN-01                 MW,P (1631),UN-01                 MW,true,Real power,,4440425,_263d55b6-0530-4d8c-bde7-0142b72ae216,Analog
_8ca2f512-8bc0-40c2-b7c0-3f9e6c98c7c0,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-01/Q,Q,01   JOL UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,4440434,_263d55b6-0530-4d8c-bde7-0142b72ae216,Analog
_d7ea3dd2-7cce-4f2a-b496-49163e1c1c86,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-02/P,P,01   JOL UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,4440570,_c46467e3-ee24-45ab-ab57-133d071dac81,Analog
_90f66164-f165-4572-9644-3242b222d44f,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-02/Q,Q,01   JOL UN-02               MVAR,Q (1642),UN-02               MVAR,true,Reactive power,,4440579,_c46467e3-ee24-45ab-ab57-133d071dac81,Analog
_c3f9021e-dec2-4dc2-86e2-47048b6e1828,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-03/P,P,01   JOL UN-03                 MW,P (1631),UN-03                 MW,true,Real power,,4440706,_07e27155-0a35-49f6-9bf9-6cffba6d2a02,Analog
_76e83345-b32d-4ebc-8d70-f8d371ba60b4,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-03/Q,Q,01   JOL UN-03               MVAR,Q (1642),UN-03               MVAR,true,Reactive power,,4440715,_07e27155-0a35-49f6-9bf9-6cffba6d2a02,Analog
_68af8c9f-be4a-4915-a5aa-84f0a2f6a1f2,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-04/P,P,01   JOL UN-04                 MW,P (1631),UN-04                 MW,true,Real power,,4440842,_e6c2ab9f-2f59-4cee-a9e1-7c2747b8106c,Analog
_e2e6e74b-cb57-4916-964a-a4752a5ec312,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-04/Q,Q,01   JOL UN-04               MVAR,Q (1642),UN-04               MVAR,true,Reactive power,,4440851,_e6c2ab9f-2f59-4cee-a9e1-7c2747b8106c,Analog
_fe825423-f5b1-4da9-886a-20e6107993af,Network/Companies/SIN/01CEL/01   JUA/85/CRG HUM/P,P,01   JUA LT-73W60 HUM          MW,P (1631),LT-73W60 HUM          MW,true,Real power,,4443281,_cdf8e9e6-fa5b-4cd2-bdc7-758069886131,Analog
_53ccee87-ea38-42c2-ad52-2a98e10f725c,Network/Companies/SIN/01CEL/01   JUA/85/CRG HUM/Q,Q,01   JUA LT-73W60 HUM        MVAR,Q (1642),LT-73W60 HUM        MVAR,true,Reactive power,,4443290,_cdf8e9e6-fa5b-4cd2-bdc7-758069886131,Analog
_3ffb0569-dd6b-46c8-aa3d-323348e7ec4a,Network/Companies/SIN/01CEL/01   LAP/20/UN-CEV/Q,Q,01   LAP CE-01    B 23       MVAR,Q (1642),CE-01    B 23       MVAR,true,Reactive power,,4448199,_5c51ddcd-d56e-454a-8f32-e194c68a0cb6,Analog
_27b3324d-822c-4292-b305-6ce65778b9b0,Network/Companies/SIN/01CEL/01   LCT/23/T01          CA/P,P,01   LCT LT-73N50 CRG ISC      MW,P (1631),LT-73N50 CRG ISC      MW,true,Real power,,4456275,_f721146e-e12b-47ca-a77b-59a2e162a35a,Analog
_58961a9b-a5ca-4519-8057-d2178cfc2234,Network/Companies/SIN/01CEL/01   LCT/23/T01          CA/Q,Q,01   LCT LT-73N50 CRG ISC    MVAR,Q (1642),LT-73N50 CRG ISC    MVAR,true,Reactive power,,4456286,_f721146e-e12b-47ca-a77b-59a2e162a35a,Analog
_0a8cf2ba-9cca-4c57-a20b-72e92d18994e,Network/Companies/SIN/01CEL/01   LDG/23/T-01 230\23/P,P,01   LDG T -01    230/23   H   MW,P (1631),T -01    230/23   H   MW,true,Real power,,4459004,_f8d8306b-c9d8-4d25-8999-ddb82111d1db,Analog
_f04c16e9-b54c-4c87-b4e9-437fa2898572,Network/Companies/SIN/01CEL/01   LDG/23/T-01 230\23/Q,Q,01   LDG T -01    230/23   H MVAR,Q (1642),T -01    230/23   H MVAR,true,Reactive power,,4459013,_f8d8306b-c9d8-4d25-8999-ddb82111d1db,Analog
_22bbb5f1-8beb-43bc-8c70-73c2d3a4bdb2,Network/Companies/SIN/01CEL/01   LDG/23/T-02 230\23/P,P,01   LDG T -02    230/23   H   MW,P (1631),T -02    230/23   H   MW,true,Real power,,4459022,_35853a26-a630-4e6f-8c51-de3903e4e48c,Analog
_fa7ab009-d072-407b-b2b1-a5b33a39767d,Network/Companies/SIN/01CEL/01   LDG/23/T-02 230\23/Q,Q,01   LDG T -02    230/23   H MVAR,Q (1642),T -02    230/23   H MVAR,true,Reactive power,,4459031,_35853a26-a630-4e6f-8c51-de3903e4e48c,Analog
_c29bc336-8139-440a-be19-3d07a797dec4,Network/Companies/SIN/01CEL/01   LEC/23/AUX 12     23CA/P,P,01   LEC LD-AUX12              MW,P (1631),LD-AUX12              MW,true,Real power,,4463112,_de46b5c2-93f7-4485-a456-775174d52dbc,Analog
_fa6b5d06-2ceb-400f-8a99-59138284b868,Network/Companies/SIN/01CEL/01   LEC/23/AUX 12     23CA/Q,Q,01   LEC LD-AUX12            MVAR,Q (1642),LD-AUX12            MVAR,true,Reactive power,,4463121,_de46b5c2-93f7-4485-a456-775174d52dbc,Analog
_5ba59d5f-1341-4eb5-9a1b-a557865bd619,Network/Companies/SIN/01CEL/01   LEC/23/AUX 34     23CA/P,P,01   LEC LD-AUX34              MW,P (1631),LD-AUX34              MW,true,Real power,,4463130,_2a05d947-b56a-49d3-b07f-2b7fd41a8c2b,Analog
_2ba6e876-a78e-4878-a82b-60e0f8f80c8e,Network/Companies/SIN/01CEL/01   LEC/23/AUX 34     23CA/Q,Q,01   LEC LD-AUX34            MVAR,Q (1642),LD-AUX34            MVAR,true,Reactive power,,4463139,_2a05d947-b56a-49d3-b07f-2b7fd41a8c2b,Analog
_f6cf557a-c315-4833-9b38-f46246583d67,Network/Companies/SIN/01CEL/01   LEC/85/73H40 GYO  85CA/P,P,01   LEC LT-73H40 GYO          MW,P (1631),LT-73H40 GYO          MW,true,Real power,,4463148,_cf68b5dc-5f9c-43ad-92b9-454a1b757490,Analog
_9ff6bfbb-9101-4e33-8ff5-e9b779d592ec,Network/Companies/SIN/01CEL/01   LEC/85/73H40 GYO  85CA/Q,Q,01   LEC LT-73H40 GYO        MVAR,Q (1642),LT-73H40 GYO        MVAR,true,Reactive power,,4463157,_cf68b5dc-5f9c-43ad-92b9-454a1b757490,Analog
_bbb2971c-7cbb-4370-af16-3ca26e3168b7,Network/Companies/SIN/01CEL/01   LEC/85/73H50 GYO  85CA/P,P,01   LEC LT-73H50 GYO          MW,P (1631),LT-73H50 GYO          MW,true,Real power,,4463170,_f9051432-3673-4cc0-81f8-c7a4d2880783,Analog
_fcd2b464-94d9-4495-9ffe-4999b3e72388,Network/Companies/SIN/01CEL/01   LEC/85/73H50 GYO  85CA/Q,Q,01   LEC LT-73H50 GYO        MVAR,Q (1642),LT-73H50 GYO        MVAR,true,Reactive power,,4463179,_f9051432-3673-4cc0-81f8-c7a4d2880783,Analog
_2e07b8b8-0ded-48a4-a58f-a0b3c157fd4b,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-01/P,P,01   LEC UN-01    BRUTA        MW,P (1631),UN-01    BRUTA        MW,true,Real power,,4463308,_00e92b95-64f4-4152-97f4-e51e832ef042,Analog
_ba576fe5-c53c-45d3-99f1-43d1c4c3451c,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-01/Q,Q,01   LEC UN-01    BRUTA      MVAR,Q (1642),UN-01    BRUTA      MVAR,true,Reactive power,,4463317,_00e92b95-64f4-4152-97f4-e51e832ef042,Analog
_870a4528-18cc-4a91-8d6f-9927818350ba,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-02/P,P,01   LEC UN-02    BRUTA        MW,P (1631),UN-02    BRUTA        MW,true,Real power,,4463440,_845a7f51-793c-45c4-b25e-528f617b21e0,Analog
_2221300d-7553-4c23-918b-c1d738c6d6ed,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-02/Q,Q,01   LEC UN-02    BRUTA      MVAR,Q (1642),UN-02    BRUTA      MVAR,true,Reactive power,,4463449,_845a7f51-793c-45c4-b25e-528f617b21e0,Analog
_477c97a8-9989-43cb-a923-3c49d098fcd2,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-03/P,P,01   LEC UN-03    BRUTA        MW,P (1631),UN-03    BRUTA        MW,true,Real power,,4463572,_993d2a66-d225-4834-a21b-57a4f27f976a,Analog
_d8e766da-ffb6-4e06-92d2-31c40099e8eb,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-03/Q,Q,01   LEC UN-03    BRUTA      MVAR,Q (1642),UN-03    BRUTA      MVAR,true,Reactive power,,4463581,_993d2a66-d225-4834-a21b-57a4f27f976a,Analog
_ae611111-8e47-4902-99c9-5c2fd349a2ff,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-04/P,P,01   LEC UN-04    BRUTA        MW,P (1631),UN-04    BRUTA        MW,true,Real power,,4463704,_3dec41d4-b290-4461-89d8-d857850d0568,Analog
_7383ffb9-2dbb-469e-8943-1ddcd5b4f7f1,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-04/Q,Q,01   LEC UN-04    BRUTA      MVAR,Q (1642),UN-04    BRUTA      MVAR,true,Reactive power,,4463713,_3dec41d4-b290-4461-89d8-d857850d0568,Analog
_6ca04b99-0dbf-47de-8c9b-1475b337da2b,Network/Companies/SIN/01CEL/01   LFG/230/CLIENTE   230CA/P,P,01   LFG CR-CARGA LFG          MW,P (1631),CR-CARGA LFG          MW,true,Real power,,4463858,_97ce2cab-8534-4561-b9d2-91da17b4ff59,Analog
_315ee09c-424a-4c0d-a6e1-5eb4f9f04ab0,Network/Companies/SIN/01CEL/01   LFG/230/CLIENTE   230CA/Q,Q,01   LFG CR-CARGA LFG        MVAR,Q (1642),CR-CARGA LFG        MVAR,true,Reactive power,,4463867,_97ce2cab-8534-4561-b9d2-91da17b4ff59,Analog
_5cdc2081-446c-4828-8ef9-3ea25098074d,Network/Companies/SIN/01CEL/01   LQX/85/T-01  85\23/P,P,01   LQX T -01    85/23    H   MW,P (1631),T -01    85/23    H   MW,true,Real power,,4465683,_33ab28ec-ad8f-4d5c-9fd9-9372b423d705,Analog
_ce6e3fa6-1928-40ad-ac54-2e68da792b39,Network/Companies/SIN/01CEL/01   LQX/85/T-01  85\23/Q,Q,01   LQX T -01    85/23    H MVAR,Q (1642),T -01    85/23    H MVAR,true,Reactive power,,4465694,_33ab28ec-ad8f-4d5c-9fd9-9372b423d705,Analog
_85d0b97b-7ebb-4820-921b-4a16061f89e6,Network/Companies/SIN/01CEL/01   MAG/13.8/UN-01/P,P,01   MAG UN-01    BRUTA1       MW,P (1631),UN-01    BRUTA        MW,true,Real power,,4468962,_9bcdeb79-950a-480c-8870-d8260528d778,Analog
_e6ec5084-9784-4856-94d4-8fe5dd181cc8,Network/Companies/SIN/01CEL/01   MAG/13.8/UN-01/Q,Q,01   MAG UN-01    BRUTA      MVAR,Q (1642),UN-01    BRUTA      MVAR,true,Reactive power,,4468971,_9bcdeb79-950a-480c-8870-d8260528d778,Analog
_09e44659-7131-4f76-bb06-22a46dedb213,Network/Companies/SIN/01CEL/01   MAG/23/53010   CA/P,P,01   MAG CD-53010              MW,P (1631),CD-53010              MW,true,Real power,,4470909,_c95c75d5-3acb-4689-99dc-a1778b7dfec8,Analog
_fc184ded-8c9e-4d5b-a234-6a8ae662d11e,Network/Companies/SIN/01CEL/01   MAG/23/53010   CA/Q,Q,01   MAG CD-53010            MVAR,Q (1642),CD-53010            MVAR,true,Reactive power,,4470918,_c95c75d5-3acb-4689-99dc-a1778b7dfec8,Analog
_96a20e86-f500-477f-976f-9b26eb2d90a1,Network/Companies/SIN/01CEL/01   MAG/23/53020   CA/P,P,01   MAG CD-53020              MW,P (1631),CD-53020              MW,true,Real power,,4470927,_51a40177-d4f6-4fd7-bbb3-7a6029b4a17c,Analog
_774b6e8e-d7cf-4f54-aa38-2d19fd0ecabb,Network/Companies/SIN/01CEL/01   MAG/23/53020   CA/Q,Q,01   MAG CD-53020            MVAR,Q (1642),CD-53020            MVAR,true,Reactive power,,4470936,_51a40177-d4f6-4fd7-bbb3-7a6029b4a17c,Analog
_bc30d278-6881-41be-b8ca-9d7159f6bb45,Network/Companies/SIN/01CEL/01   MAG/23/53030   CA/P,P,01   MAG CD-53030              MW,P (1631),CD-53030              MW,true,Real power,,4470945,_1d48f750-ce1d-4659-b94c-c71ff44ee757,Analog
_cef6fb5e-5286-4682-b60b-1bc5771a014e,Network/Companies/SIN/01CEL/01   MAG/23/53030   CA/Q,Q,01   MAG CD-53030            MVAR,Q (1642),CD-53030            MVAR,true,Reactive power,,4470954,_1d48f750-ce1d-4659-b94c-c71ff44ee757,Analog
_ba8f81de-445f-4c3e-a611-df06a5f66be9,Network/Companies/SIN/01CEL/01   MAG/23/53040   CA/P,P,01   MAG CD-53040              MW,P (1631),CD-53040              MW,true,Real power,,4470963,_9d489c60-3655-4249-830e-5e61f91d812d,Analog
_866e7734-2537-4bb3-a574-746efd0a9531,Network/Companies/SIN/01CEL/01   MAG/23/53040   CA/Q,Q,01   MAG CD-53040            MVAR,Q (1642),CD-53040            MVAR,true,Reactive power,,4470972,_9d489c60-3655-4249-830e-5e61f91d812d,Analog
_0e1b9f1a-65f3-4a13-aa5d-4b58035b3452,Network/Companies/SIN/01CEL/01   MAG/23/53050   CA/P,P,01   MAG CD-53050              MW,P (1631),CD-53050              MW,true,Real power,,4470981,_85327a66-722f-489d-997b-be5e8b69750c,Analog
_3eb9f2f0-6964-49d6-8076-d3e868804c32,Network/Companies/SIN/01CEL/01   MAG/23/53050   CA/Q,Q,01   MAG CD-53050            MVAR,Q (1642),CD-53050            MVAR,true,Reactive power,,4470990,_85327a66-722f-489d-997b-be5e8b69750c,Analog
_018ba21d-c172-444b-8e41-5eebc6181038,Network/Companies/SIN/01CEL/01   MAG/23/53060   CA/P,P,01   MAG CD-53060              MW,P (1631),CD-53060              MW,true,Real power,,4470999,_469f7ca2-18de-4f25-a9fc-0866e3275619,Analog
_641fc256-fbd0-4a3f-b2a5-cb7665a1095e,Network/Companies/SIN/01CEL/01   MAG/23/53060   CA/Q,Q,01   MAG CD-53060            MVAR,Q (1642),CD-53060            MVAR,true,Reactive power,,4471008,_469f7ca2-18de-4f25-a9fc-0866e3275619,Analog
_2c40bcdb-ce29-47e7-8852-2d342571a564,Network/Companies/SIN/01CEL/01   MAG/23/53070   CA/P,P,01   MAG CD-53070              MW,P (1631),CD-53070              MW,true,Real power,,4471017,_630bed7e-d520-4ac9-9137-281f90d527b1,Analog
_d9df3bfe-22b4-4ea6-af5b-688055248a5d,Network/Companies/SIN/01CEL/01   MAG/23/53070   CA/Q,Q,01   MAG CD-53070            MVAR,Q (1642),CD-53070            MVAR,true,Reactive power,,4471026,_630bed7e-d520-4ac9-9137-281f90d527b1,Analog
_d8a7aa37-ded1-4aed-9695-1d7b561a502f,Network/Companies/SIN/01CEL/01   MAG/23/53080   CA/P,P,01   MAG CD-53080              MW,P (1631),CD-53080              MW,true,Real power,,4471035,_b37d0f04-dace-45ae-9f7b-b83dc476306c,Analog
_eee9c543-f79a-4a4a-9bc7-df0dc88f188d,Network/Companies/SIN/01CEL/01   MAG/23/53080   CA/Q,Q,01   MAG CD-53080            MVAR,Q (1642),CD-53080            MVAR,true,Reactive power,,4471044,_b37d0f04-dace-45ae-9f7b-b83dc476306c,Analog
_8c199647-5b91-4e4f-916e-2bd7b4e75419,Network/Companies/SIN/01CEL/01   MAG/23/53090   CA/P,P,01   MAG CD-53090              MW,P (1631),CD-53090              MW,true,Real power,,4471053,_1d4ac216-a301-438b-b94b-302f123f11bf,Analog
_bd7f6b7a-d907-459d-ae4c-56250b03ca59,Network/Companies/SIN/01CEL/01   MAG/23/53090   CA/Q,Q,01   MAG CD-53090            MVAR,Q (1642),CD-53090            MVAR,true,Reactive power,,4471062,_1d4ac216-a301-438b-b94b-302f123f11bf,Analog
_f989222d-57c8-43c9-8acf-c7e7aee61eac,Network/Companies/SIN/01CEL/01   MAG/23/53100   CA/P,P,01   MAG CD-53100              MW,P (1631),CD-53100              MW,true,Real power,,4471071,_8c710bf0-92d4-4dde-86cf-3fe5531bda6e,Analog
_c88f66ea-5977-43c5-8502-8f2d148f97da,Network/Companies/SIN/01CEL/01   MAG/23/53100   CA/Q,Q,01   MAG CD-53100            MVAR,Q (1642),CD-53100            MVAR,true,Reactive power,,4471080,_8c710bf0-92d4-4dde-86cf-3fe5531bda6e,Analog
_c625b395-095e-48ed-a546-03c5bb1ee173,Network/Companies/SIN/01CEL/01   MAG/23/53110   CA/P,P,01   MAG CD-53110              MW,P (1631),CD-53110              MW,true,Real power,,4471089,_57b46680-5ffa-4c1f-9fb2-8f4e390fc686,Analog
_d5863767-f0d0-4882-9680-30e8a56d10f8,Network/Companies/SIN/01CEL/01   MAG/23/53110   CA/Q,Q,01   MAG CD-53110            MVAR,Q (1642),CD-53110            MVAR,true,Reactive power,,4471098,_57b46680-5ffa-4c1f-9fb2-8f4e390fc686,Analog
_18c039a0-aab5-4130-8912-de457f10d6b0,Network/Companies/SIN/01CEL/01   MAG/23/53120   CA/P,P,01   MAG CD-53120              MW,P (1631),CD-53120              MW,true,Real power,,4471107,_9c120c74-d850-43bf-ada4-7fb7c7c0d9ae,Analog
_23fadfdd-636f-42c6-b478-69006b425820,Network/Companies/SIN/01CEL/01   MAG/23/53120   CA/Q,Q,01   MAG CD-53120            MVAR,Q (1642),CD-53120            MVAR,true,Reactive power,,4471116,_9c120c74-d850-43bf-ada4-7fb7c7c0d9ae,Analog
_11de2b70-2ec0-4d7c-beb1-1db1cdd175b7,Network/Companies/SIN/01CEL/01   MGR/23/T-01  85\23/P,P,01   MGR T -01    85/23    H   MW,P (1631),T -01    85/23    H   MW,true,Real power,,4475128,_94d6b96e-aada-47c0-a790-e477ce9df9c2,Analog
_0be8ad60-9a09-42ae-ab9e-d17c89fb11ab,Network/Companies/SIN/01CEL/01   MGR/23/T-01  85\23/Q,Q,01   MGR T -01    85/23    H MVAR,Q (1642),T -01    85/23    H MVAR,true,Reactive power,,4475139,_94d6b96e-aada-47c0-a790-e477ce9df9c2,Analog
_5b28bee5-1d1a-4263-bc61-2001019ac6c4,Network/Companies/SIN/06NES/06   ACL/18/UN-01/P,P,06   ACL UN-01    BRUTA        MW,P (1631),UN-01    BRUTA        MW,true,Real power,,4597694,_20883cab-78c5-4be2-be5e-84010ebd48ca,Analog
_c093b22e-3edf-4d36-8b80-5167244d84af,Network/Companies/SIN/06NES/06   ACL/18/UN-01/Q,Q,06   ACL UN-01    BRUTA      MVAR,Q (1642),UN-01    BRUTA      MVAR,true,Reactive power,,4597709,_20883cab-78c5-4be2-be5e-84010ebd48ca,Analog
_7427ab40-cf19-49f5-9b9c-c231cce453e4,Network/Companies/SIN/06NES/06   ACL/13.8/UN-02/P,P,06   ACL UN-02    BRUTA        MW,P (1631),UN-02    BRUTA        MW,true,Real power,,4598076,_652b3459-06db-4032-9f10-7a50cde330e8,Analog
_2dc8c6b5-cdac-4322-ba34-a6d0dbe2ac67,Network/Companies/SIN/06NES/06   ACL/13.8/UN-02/Q,Q,06   ACL UN-02    BRUTA      MVAR,Q (1642),UN-02    BRUTA      MVAR,true,Reactive power,,4598089,_652b3459-06db-4032-9f10-7a50cde330e8,Analog
_526f916a-2a09-4bc7-a351-78b3f15795d7,Network/Companies/SIN/06NES/06   AHM/400/AT 01/P,P,06   AHM T -01    400/34.5 H   MW,P (1631),T -01    400/34.5 H   MW,true,Real power,,4603191,_656b4db9-9bd3-4db7-9784-5ecf5b79fe77,Analog
