ID,Path,Name,Description,ElementName,ElementText,IncludeInSE,MeasurementType,mRID,InternalId,Parent,ObjectType
_70bb61a3-87ed-407e-bcac-648ff664b644,Network/Companies/SIN/03OCC/03   ARN/13.8/UN-01/Q,Q,03   ARN UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,2925430,_9dc3f40d-eb0e-4577-9c8f-d6c4fbb50b53,Analog
_a55cb55c-8af4-474d-97df-c781e9beb3dc,Network/Companies/SIN/03OCC/03   ARN/13.8/UN-02/P,P,03   ARN UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,2925451,_bafe1d72-9360-43cc-aa00-3f25a029a41e,Analog
_0b4ede1f-11f3-43f6-bf64-588a1e6b4c76,Network/Companies/SIN/03OCC/03   ARN/13.8/UN-02/Q,Q,03   ARN UN-02               MVAR,Q (1642),UN-02               MVAR,true,Reactive power,,2925460,_bafe1d72-9360-43cc-aa00-3f25a029a41e,Analog
_31b4de64-ac75-42d7-9fdf-b2fc8c35df03,Network/Companies/SIN/03OCC/03   ATN/14/UN-CEV/Q,Q,03   ATN T -05    400/14     MVAR,Q (1642),T -05    400/14     MVAR,false,Reactive power,,2927569,_8307b7c0-05e2-4ee2-adc9-3eea4ae373ea,Analog
_45fe54c3-c504-4ab8-811f-7a353eabac44,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-17/P,P,03   AZF UN-17                 MW,P (1631),UN-17                 MW,true,Real power,,2930272,_63384b5d-bad9-4d1b-953c-9e6097917d0e,Analog
_bc04aea8-5c70-425b-a746-036adba48037,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-17/Q,Q,03   AZF UN-17    BRUTA      MVAR,Q (1642),UN-17    BRUTA      MVAR,true,Reactive power,,2930277,_63384b5d-bad9-4d1b-953c-9e6097917d0e,Analog
_f871db83-c32e-4362-b877-ba6e7bd62809,Network/Companies/SIN/03OCC/03   AZF/4.16/UN-10/P,P,03   AZF UN-10                 MW,P (1631),UN-10                 MW,true,Real power,,2930468,_a8541419-ec08-477a-b423-e11897481a41,Analog
_5d866c3c-0cda-4d65-80b4-9644ae3c8359,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-18/P,P,03   AZF UN-18    BRUTA        MW,P (1631),UN-18    BRUTA        MW,true,Real power,,2930496,_02a212ff-58e9-4ec7-8f12-2d037b94cfd9,Analog
_065efec3-9257-43ba-8a8f-e943471351e9,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-18/Q,Q,03   AZF UN-18    BRUTA      MVAR,Q (1642),UN-18    BRUTA      MVAR,true,Reactive power,,2930501,_02a212ff-58e9-4ec7-8f12-2d037b94cfd9,Analog
_67f1bb66-72d3-4076-a982-e165622f774a,Network/Companies/SIN/03OCC/03   AZF/4.16/UN-06/P,P,03   AZF UN-06                 MW,P (1631),UN-06                 MW,true,Real power,,2930807,_1ede4b86-ca7c-4ae3-b836-8481ea1a05af,Analog
_e90af9f3-0c53-469d-b7e6-c38727956203,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-07/P,P,03   AZF UN-07                 MW,P (1631),UN-07                 MW,true,Real power,,2930815,_8a73c197-2f70-4aa2-b66a-5a59ba207d12,Analog
_c82cb88a-b7a3-4df7-8c6f-bee9dc4251a0,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-13/P,P,03   AZF UN-13                 MW,P (1631),UN-13                 MW,true,Real power,,2930823,_320fe8b3-24ff-499d-81a4-febe5cadb1e6,Analog
_a3bd997f-c173-42d9-9cc9-223990539228,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-14/P,P,03   AZF UN-14                 MW,P (1631),UN-14                 MW,true,Real power,,2930831,_63466887-bf20-4bf5-9d71-f6bb8dbf6b78,Analog
_69065c0e-2de5-4ba7-9f5b-16134dce9518,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-15/P,P,03   AZF UN-15                 MW,P (1631),UN-15                 MW,true,Real power,,2930839,_85ea5d9b-e803-49dd-b930-cd50a910b64d,Analog
_ec2ee91b-7f9f-4520-82f8-c2d16aba37c2,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-16/P,P,03   AZF UN-16                 MW,P (1631),UN-16                 MW,true,Real power,,2930847,_46f165cb-1b6b-49e9-aa14-91bd1f939133,Analog
_58bc011b-1fc4-4e46-9c55-25fd1fde071f,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-18 SP/P,P,03   AZF UN-18 SP              MW,P (1631),UN-18 SP              MW,true,Real power,,2930953,_cdb090b2-a12f-4cf3-a202-bdb72b33c6c8,Analog
_ad849a1a-119f-4723-89f8-3a08abfdaf0b,Network/Companies/SIN/03OCC/03   AZF/13.8/UN-18 SP/Q,Q,03   AZF UN-18 SP            MVAR,Q (1642),UN-18 SP            MVAR,true,Reactive power,,2930957,_cdb090b2-a12f-4cf3-a202-bdb72b33c6c8,Analog
_0340e97a-9a11-4f7e-9c19-995fe2f70689,Network/Companies/SIN/03OCC/03   AZF/4.16/UN-02/P,P,03   AZF UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,2930961,_782fd6de-8554-4779-9ac7-f369fe3b0930,Analog
_044152e8-8355-433c-81d7-49a85d81e43b,Network/Companies/SIN/03OCC/03   BCD/115/73420 GDY/P,P,03   BCD 73420 GDY             MW,P (1631),73420 GDY             MW,true,Real power,,2931425,_6e8e4418-525b-43a3-bba1-6d6a2d12f904,Analog
_a9963725-3c1c-41b9-b370-5199d42ec882,Network/Companies/SIN/03OCC/03   BCD/115/73420 GDY/Q,Q,03   BCD 73420 GDY           MVAR,Q (1642),73420 GDY           MVAR,true,Reactive power,,2931433,_6e8e4418-525b-43a3-bba1-6d6a2d12f904,Analog
_f3fe9c55-4e60-419d-8704-103ad779c52d,Network/Companies/SIN/03OCC/03   BEO/4.16/UN-01/P,P,03   BEO UN-01                 MW,P (1631),UN-01                 MW,true,Real power,,2931541,_9ed51584-dd04-448f-81ce-ed33c0ddb990,Analog
_6bd465d2-56a8-40d6-be98-9fec223eef8a,Network/Companies/SIN/03OCC/03   BEO/4.16/UN-01/Q,Q,03   BEO UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,2931546,_9ed51584-dd04-448f-81ce-ed33c0ddb990,Analog
_05631ed2-f329-41e7-8fbd-0ef51e730a2b,Network/Companies/SIN/03OCC/03   BEO/4.16/UN-02/P,P,03   BEO UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,2931555,_47e3faca-6e48-4c38-a680-bd17e616abfd,Analog
_352529c6-9671-4425-9c3d-5b03adb59480,Network/Companies/SIN/03OCC/03   BEO/4.16/UN-02/Q,Q,03   BEO UN-02               MVAR,Q (1642),UN-02               MVAR,true,Reactive power,,2931560,_47e3faca-6e48-4c38-a680-bd17e616abfd,Analog
_61389f4b-0fff-4d35-ac62-cdf96949cbbc,Network/Companies/SIN/03OCC/03   BPS/13.8/4115  F1A/P,P,03   BPS 4115  F1A             MW,P (1631),4115  F1A             MW,true,Real power,,2932198,_34de2bea-5b4a-4931-8a38-d9f098124830,Analog
_846d2ec9-ccbf-4ac0-a14a-abf527199571,Network/Companies/SIN/03OCC/03   BPS/13.8/4115  F1A/Q,Q,03   BPS 4115  F1A           MVAR,Q (1642),4115  F1A           MVAR,true,Reactive power,,2932206,_34de2bea-5b4a-4931-8a38-d9f098124830,Analog
_99e083bc-27c8-424b-bbcd-58e5f279012a,Network/Companies/SIN/03OCC/03   BPS/13.8/4115  F1B/P,P,03   BPS 4115  F1B             MW,P (1631),4115  F1B             MW,true,Real power,,2932214,_934acb32-9eef-41da-95ce-3e94b0f255fa,Analog
_873c31a5-6d5c-486f-bb50-d04c551c95af,Network/Companies/SIN/03OCC/03   BPS/13.8/4115  F1B/Q,Q,03   BPS 4115  F1B           MVAR,Q (1642),4115  F1B           MVAR,true,Reactive power,,2932222,_934acb32-9eef-41da-95ce-3e94b0f255fa,Analog
_ce97d041-c39d-46a3-96be-90ab20b7889a,Network/Companies/SIN/03OCC/03   BPS/13.8/4125  F2A/P,P,03   BPS 4125  F2A             MW,P (1631),4125  F2A             MW,true,Real power,,2932230,_25bf03e3-6bae-44be-b8e4-9e5545f80186,Analog
_67f52b30-4f89-4436-bed4-03948a1c9f7f,Network/Companies/SIN/03OCC/03   BPS/13.8/4125  F2A/Q,Q,03   BPS 4125  F2A           MVAR,Q (1642),4125  F2A           MVAR,true,Reactive power,,2932238,_25bf03e3-6bae-44be-b8e4-9e5545f80186,Analog
_5cbc13ad-278d-45da-942c-8df5ed6e3c8a,Network/Companies/SIN/03OCC/03   BPS/13.8/4125  F2B/P,P,03   BPS 4125  F2B             MW,P (1631),4125  F2B             MW,true,Real power,,2932246,_0e1f236a-f169-4fb6-aedc-3570ed7fea41,Analog
_d45a422b-db9d-4dfe-9ecc-137ddbc3bc80,Network/Companies/SIN/03OCC/03   BPS/13.8/4125  F2B/Q,Q,03   BPS 4125  F2B           MVAR,Q (1642),4125  F2B           MVAR,true,Reactive power,,2932254,_0e1f236a-f169-4fb6-aedc-3570ed7fea41,Analog
_a1d4ef29-c0b4-49df-9549-d49bcc1fb4a8,Network/Companies/SIN/03OCC/03   BPS/13.8/4135  F3A/P,P,03   BPS 4135  F3A             MW,P (1631),4135  F3A             MW,true,Real power,,2932262,_51247f68-685a-4fe8-864e-ca50100e4ea6,Analog
_eb92fc3a-ef79-4e7d-97be-b5af70bea752,Network/Companies/SIN/03OCC/03   BPS/13.8/4135  F3A/Q,Q,03   BPS 4135  F3A           MVAR,Q (1642),4135  F3A           MVAR,true,Reactive power,,2932270,_51247f68-685a-4fe8-864e-ca50100e4ea6,Analog
_1c976649-35e3-4503-9c62-5767a7ea2791,Network/Companies/SIN/03OCC/03   BPS/13.8/4135  F3B/P,P,03   BPS 4135  F3B             MW,P (1631),4135  F3B             MW,true,Real power,,2932278,_62fc1d76-cdc4-48fb-9a1f-f85c21cc38c3,Analog
_82f26d68-dd6d-48c0-b853-7861f1be4711,Network/Companies/SIN/03OCC/03   BPS/13.8/4135  F3B/Q,Q,03   BPS 4135  F3B           MVAR,Q (1642),4135  F3B           MVAR,true,Reactive power,,2932286,_62fc1d76-cdc4-48fb-9a1f-f85c21cc38c3,Analog
