TableName,ID,Path,ShortID,Description,NAFlag,pfixedPct,qfixedPct,InternalId,Name,Parent,ObjectType
NonConformLoad,_793e254a-6444-40f7-9dd3-c7a2b2a7f5c0,Network/Companies/SIN/01CEL/01   CRG/85/73N70 PEW,2,01   CRG 73N70 PEW,true,100,100,779100,73N70 PEW,_a3441498-12fa-4f80-8c75-f55631c18934,NonConformLoad
NonConformLoad,_c2fa5c12-8896-494c-a08a-b3a5ed8b6c26,Network/Companies/SIN/01CEL/01   CRU/230/CLIENTE1  ETR,1,01   CRU CLIENTE1  ETR,true,100,100,780820,CLIENTE1  ETR,_0e2cb23e-4e78-401f-9a78-b5a89e5bff74,NonConformLoad
NonConformLoad,_e01e23e7-1022-465b-9dd8-9ef540090965,Network/Companies/SIN/01CEL/01   DCO/85/CRG DCO,1,01   DCO CRG DCO,true,100,100,794640,CRG DCO,_80bbb131-663d-4bea-9e83-1fba2fbb2d4d,NonConformLoad
NonConformLoad,_04af9306-4e51-4cfa-8cb4-3263eccf83ac,Network/Companies/SIN/01CEL/01   FMC/85/CFMC       85CA,1,01   FMC CFMC       85CA,true,100,100,799682,CFMC       85CA,_3de036f3-9246-49b2-8d6f-9290f0c29f02,NonConformLoad
NonConformLoad,_676c1e74-de18-408f-8616-0760ba0ce768,Network/Companies/SIN/01CEL/01   HTC/85/CRG CVM,1,01   HTC CRG CVM,true,100,100,800917,CRG CVM,_f72f55d6-d226-44b1-b899-a1847cc74545,NonConformLoad
NonConformLoad,_7eae4dd9-6efa-4ba8-9106-b49415edd6cd,Network/Companies/SIN/01CEL/01   INM/85/CRG INMI,1,01   INM CRG INMI,true,100,100,802474,CRG INMI,_0870d4bf-f731-466c-b797-76050bb8af40,NonConformLoad
NonConformLoad,_68c2e791-34cb-490c-9f71-9014f656453b,Network/Companies/SIN/01CEL/01   ISC/85/CISC       85CA,1,01   ISC CISC       85CA,true,100,100,804153,CISC       85CA,_579315ba-3abe-4aa9-9f85-db805381bdc7,NonConformLoad
NonConformLoad,_09798a27-4311-4983-b8c5-3424fcf0d3c7,Network/Companies/SIN/01CEL/01   IUN/23/T-01 115\23,1,01   IUN  T-01 115/23,true,100,100,804335,T-01 115\23,_b59fc28d-c2d1-4cc2-8f6b-066ab0c2038c,NonConformLoad
NonConformLoad,_a3820470-43aa-4a54-a6b5-1abc30ce06bf,Network/Companies/SIN/01CEL/01   IZT/230/CLIENTE2  ETR,1,01   IZT CLIENTE2  ETR,true,100,100,805100,CLIENTE2  ETR,_c9b39130-0355-4bca-bc27-69644e30b3b2,NonConformLoad
NonConformLoad,_27dd960b-8bf2-48a3-8252-9c20d9626a49,Network/Companies/SIN/01CEL/01   JDV/85/CRG JDV,1,01   JDV CRG JDV,true,100,100,809614,CRG JDV,_5f01ee9a-73d5-4898-a63e-ce0d324e0f4e,NonConformLoad
NonConformLoad,_4a53d848-21e1-4a26-93bb-965c4740ae8c,Network/Companies/SIN/01CEL/01   JLC/230/CARGA 1 CLIENTE,1,01   JLC CARGA 1 CLIENTE,true,100,100,809896,CARGA 1 CLIENTE,_5647d452-7bda-4853-8325-7993f91630a5,NonConformLoad
NonConformLoad,_f721146e-e12b-47ca-a77b-59a2e162a35a,Network/Companies/SIN/01CEL/01   LCT/23/T01          CA,1,01   LCT T01          CA,true,100,100,814694,T01          CA,_ddd9bcdf-99f0-426e-8a61-60b249edd6ce,NonConformLoad
NonConformLoad,_cf68b5dc-5f9c-43ad-92b9-454a1b757490,Network/Companies/SIN/01CEL/01   LEC/85/73H40 GYO  85CA,1,01   LEC 73H40 GYO  85CA,true,100,100,815492,73H40 GYO  85CA,_60a8b7c8-d1f2-435b-80f8-5c3ee925d42a,NonConformLoad
NonConformLoad,_f9051432-3673-4cc0-81f8-c7a4d2880783,Network/Companies/SIN/01CEL/01   LEC/85/73H50 GYO  85CA,2,01   LEC 73H50 GYO  85CA,true,100,100,815497,73H50 GYO  85CA,_60a8b7c8-d1f2-435b-80f8-5c3ee925d42a,NonConformLoad
NonConformLoad,_97ce2cab-8534-4561-b9d2-91da17b4ff59,Network/Companies/SIN/01CEL/01   LFG/230/CLIENTE   230CA,1,01   LFG CLIENTE   230CA,true,100,100,817217,CLIENTE   230CA,_81602c0e-9576-4ee8-85f0-96961845ace3,NonConformLoad
NonConformLoad,_33ab28ec-ad8f-4d5c-9fd9-9372b423d705,Network/Companies/SIN/01CEL/01   LQX/85/T-01  85\23,1,01   LQX  T-01  85/23,true,100,100,817876,T-01  85\23,_6a560342-be25-4c1b-90df-1fbf24ca642f,NonConformLoad
NonConformLoad,_85d4aa51-0c84-4ae9-bf27-4a668493964b,Network/Companies/SIN/01CEL/01   MOS/85/CRG HIP,1,01   MOS CRG HIP,true,100,100,822598,CRG HIP,_bd5fc2e6-cd48-4378-8a22-d57ab36b5e1c,NonConformLoad
NonConformLoad,_84e21657-d7b6-4005-8167-10396b5e3ccc,Network/Companies/SIN/01CEL/01   MOS/85/CRG IDNA1,2,01   MOS CRG IDNA1,true,100,100,822603,CRG IDNA1,_bd5fc2e6-cd48-4378-8a22-d57ab36b5e1c,NonConformLoad
NonConformLoad,_dafed915-0f8e-4142-82be-35f1f6fa0e55,Network/Companies/SIN/01CEL/01   MOS/85/CRG IDNA2,3,01   MOS CRG IDNA2,true,100,100,822608,CRG IDNA2,_bd5fc2e6-cd48-4378-8a22-d57ab36b5e1c,NonConformLoad
NonConformLoad,_b82f13a4-cf43-426b-8efe-31f28ed36e69,Network/Companies/SIN/01CEL/01   NFA/85/T-01  85\23,1,01   NFA  T-01  85/23,true,100,100,826307,T-01  85\23,_d9790eb8-616d-4e27-9ce3-7e82f6f8e06e,NonConformLoad
NonConformLoad,_6eae3d0c-a4c0-44ef-b3d4-15177efac33d,Network/Companies/SIN/01CEL/01   NFA/85/T-02  85\23,2,01   NFA  T-02  85/23,true,100,100,826312,T-02  85\23,_d9790eb8-616d-4e27-9ce3-7e82f6f8e06e,NonConformLoad
NonConformLoad,_b28e905c-4132-493f-ac26-409254685c0c,Network/Companies/SIN/01CEL/01   OCE/230/OCE M,1,01   OCE OCE M,true,100,100,828560,OCE M,_2190cdb0-872b-4ec1-834c-cce4f71df1a6,NonConformLoad
NonConformLoad,_542ffa07-c23c-4349-bc6e-e0e0ddeba216,Network/Companies/SIN/01CEL/01   OCE/230/OCE P,2,01   OCE OCE P,true,100,100,828565,OCE P,_2190cdb0-872b-4ec1-834c-cce4f71df1a6,NonConformLoad
NonConformLoad,_ebb84f83-9d06-4660-b78f-ea9e20a3feca,Network/Companies/SIN/01CEL/01   PAT/85/73J30 NYN,1,01   PAT 73J30 NYN,true,100,100,831668,73J30 NYN,_2342f4ba-b980-4831-b528-ec4977107772,NonConformLoad
NonConformLoad,_bc89adad-14a6-4dd0-96cb-279fead99384,Network/Companies/SIN/01CEL/01   PCC/85/T-01  85\23,1,01   PCC  T-01  85/23,true,100,100,832309,T-01  85\23,_958324f4-d361-4581-9e69-cdd059c114be,NonConformLoad
NonConformLoad,_fd4b80b9-c764-4f7b-ab02-6e8429f5161a,Network/Companies/SIN/01CEL/01   PCC/85/T-02  85\23,2,01   PCC  T-02  85/23,true,100,100,832314,T-02  85\23,_958324f4-d361-4581-9e69-cdd059c114be,NonConformLoad
