"PowerTransformer:
ParentInternalId","PowerTransformer:
ParentId","PowerTransformer:
Parent","PowerTransformer:
ParentName","PowerTransformer:
InternalId","PowerTransformer:
ObjectId","PowerTransformer:
ID","PowerTransformer:
Name","PowerTransformer:
Description","PowerTransformer:
mRID","PowerTransformer:
NAFlag","PowerTransformer:
ODBName","PowerTransformer:
ShortID","PowerTransformer:
ObjectType"
600846,{a60f4223-9870-4666-9dee-b09e2b96c8c4},_a60f4223-9870-4666-9dee-b09e2b96c8c4,01   APA,758350,{f2c8b716-d682-492d-bd0c-2e38e530b693},_f2c8b716-d682-492d-bd0c-2e38e530b693,01APA T03 230\85,01   APA  T-03 230/85,XF-01   APA  T-03 230/85,true,97-T-03,03,PowerTransformer
600846,{a60f4223-9870-4666-9dee-b09e2b96c8c4},_a60f4223-9870-4666-9dee-b09e2b96c8c4,01   APA,758356,{7c43ba4c-b458-4029-b511-9391cf1669f1},_7c43ba4c-b458-4029-b511-9391cf1669f1,01APA T04 230\85,01   APA  T-04 230/85,XF-01   APA  T-04 230/85,true,97-T-04,04,PowerTransformer
600856,{91f30831-7426-4b97-b879-324465672079},_91f30831-7426-4b97-b879-324465672079,01   ARA,758831,{8f857ec4-2c29-44ab-8d21-3d22f8d00e8a},_8f857ec4-2c29-44ab-8d21-3d22f8d00e8a,01ARA T01 85\23,01   ARA  T-01  85/23,XF-01   ARA  T-01  85/23,true,75-T-01,01,PowerTransformer
600856,{91f30831-7426-4b97-b879-324465672079},_91f30831-7426-4b97-b879-324465672079,01   ARA,758837,{ce3b159e-a7ac-48f8-94f6-ba3c37539844},_ce3b159e-a7ac-48f8-94f6-ba3c37539844,01ARA T02 85\23,01   ARA  T-02  85/23,XF-01   ARA  T-02  85/23,true,75-T-02,02,PowerTransformer
600856,{91f30831-7426-4b97-b879-324465672079},_91f30831-7426-4b97-b879-324465672079,01   ARA,758843,{e97bf7a7-97cc-42a2-bd21-3d784ef9ffec},_e97bf7a7-97cc-42a2-bd21-3d784ef9ffec,01ARA T03 85\23,01   ARA  T-03  85/23,XF-01   ARA  T-03  85/23,true,75-T-03,03,PowerTransformer
600856,{91f30831-7426-4b97-b879-324465672079},_91f30831-7426-4b97-b879-324465672079,01   ARA,758849,{d6503e8f-5804-43e0-8bca-5d147f2073ba},_d6503e8f-5804-43e0-8bca-5d147f2073ba,01ARA T04 85\23,01   ARA  T-04  85/23,XF-01   ARA  T-04  85/23,true,75-T-04,04,PowerTransformer
600856,{91f30831-7426-4b97-b879-324465672079},_91f30831-7426-4b97-b879-324465672079,01   ARA,758855,{da871de3-0169-416c-8d89-f9ab5edf089d},_da871de3-0169-416c-8d89-f9ab5edf089d,01ARA T10 23\13.8,01   ARA  T-10  23/13.8,XF-01   ARA  T-10  23/13.8,true,54-T-10,10,PowerTransformer
600871,{ec8bd6dc-e31d-4c61-aa30-8e048d5fe817},_ec8bd6dc-e31d-4c61-aa30-8e048d5fe817,01   ASK,760840,{cc5bef74-9036-4a2c-a8f9-fcc93bf98463},_cc5bef74-9036-4a2c-a8f9-fcc93bf98463,01ASK T01 230\23,01   ASK  T-01 230/23,XF-01   ASK  T-01 230/23,true,95-T-01,01,PowerTransformer
600871,{ec8bd6dc-e31d-4c61-aa30-8e048d5fe817},_ec8bd6dc-e31d-4c61-aa30-8e048d5fe817,01   ASK,760846,{aa72df80-aba5-44e3-9082-5650ecda70d6},_aa72df80-aba5-44e3-9082-5650ecda70d6,01ASK T02 230\23,01   ASK  T-02 230/23,XF-01   ASK  T-02 230/23,true,95-T-02,02,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761564,{a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c},_a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c,01ATE T01 230\85,01   ATE  T-01 230/85,XF-01   ATE  T-01 230/85,true,97-T-01,01,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761570,{6e2dbc67-9306-4450-a038-cf136fc7e0e1},_6e2dbc67-9306-4450-a038-cf136fc7e0e1,01ATE T02 230\85,01   ATE  T-02 230/85,XF-01   ATE  T-02 230/85,true,97-T-02,02,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761576,{e31ff7b9-e14c-4ce1-922f-36bbbde1769c},_e31ff7b9-e14c-4ce1-922f-36bbbde1769c,01ATE T03 230\85,01   ATE  T-03 230/85,XF-01   ATE  T-03 230/85,true,97-T-03,03,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761582,{29901735-9392-458c-ae0f-7de5b9d94d06},_29901735-9392-458c-ae0f-7de5b9d94d06,01ATE T04 230\23,01   ATE  T-04 230/23,XF-01   ATE  T-04 230/23,true,95-T-04,04,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761588,{3845a0f6-8aca-4f16-b558-9c2524096da3},_3845a0f6-8aca-4f16-b558-9c2524096da3,01ATE T05 230\23,01   ATE  T-05 230/23,XF-01   ATE  T-05 230/23,true,95-T-05,05,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761594,{4fd2703e-7eb0-443d-92dc-94b6893f3d27},_4fd2703e-7eb0-443d-92dc-94b6893f3d27,01ATE T06 230\23,01   ATE  T-06 230/23,XF-01   ATE  T-06 230/23,true,95-T-06,06,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761600,{9bab28d0-33f8-4e56-b9fc-114488580c49},_9bab28d0-33f8-4e56-b9fc-114488580c49,01ATE T07 85\23,01   ATE  T-07  85/23,XF-01   ATE  T-07  85/23,true,75-T-07,07,PowerTransformer
600876,{312cbc31-b6c9-4f46-902f-478647c99b8c},_312cbc31-b6c9-4f46-902f-478647c99b8c,01   ATE,761606,{1a16e669-6d88-4ee6-8188-6be7c2eafbf4},_1a16e669-6d88-4ee6-8188-6be7c2eafbf4,01ATE T10 23\13.8,01   ATE  T-10  23/13.8,XF-01   ATE  T-10  23/13.8,true,54-T-10,10,PowerTransformer
600881,{b4a4afd2-068e-4350-b0f1-66b2a6aa00b6},_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,01   ATI,763318,{27df3174-995d-4cce-9b84-254f79a5653b},_27df3174-995d-4cce-9b84-254f79a5653b,01ATI T01 230\23,01   ATI  T-01 230/23,XF-01   ATI  T-01 230/23,true,95-T-01,01,PowerTransformer
600881,{b4a4afd2-068e-4350-b0f1-66b2a6aa00b6},_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,01   ATI,763324,{d6cd9eaa-a3dc-42fb-a185-0bdb878ac567},_d6cd9eaa-a3dc-42fb-a185-0bdb878ac567,01ATI T02 230\23,01   ATI  T-02 230/23,XF-01   ATI  T-02 230/23,true,95-T-02,02,PowerTransformer
600881,{b4a4afd2-068e-4350-b0f1-66b2a6aa00b6},_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,01   ATI,763330,{aa00bb24-532e-43d9-bd02-111eed89d365},_aa00bb24-532e-43d9-bd02-111eed89d365,01ATI T03 230\23,01   ATI  T-03 230/23,XF-01   ATI  T-03 230/23,true,95-T-03,03,PowerTransformer
600886,{3771b127-6ba8-4e93-9b6a-19f2b9f37357},_3771b127-6ba8-4e93-9b6a-19f2b9f37357,01   ATK,763768,{4080cf7f-8acf-424c-8c0c-981887baabc8},_4080cf7f-8acf-424c-8c0c-981887baabc8,01ATK T01 230\23,01   ATK  T-01 230/23,XF-01   ATK  T-01 230/23,true,95-T-01,01,PowerTransformer
600886,{3771b127-6ba8-4e93-9b6a-19f2b9f37357},_3771b127-6ba8-4e93-9b6a-19f2b9f37357,01   ATK,763774,{9b99ce34-d434-4dd7-982b-037ca8de9268},_9b99ce34-d434-4dd7-982b-037ca8de9268,01ATK T02 230\23,01   ATK  T-02 230/23,XF-01   ATK  T-02 230/23,true,95-T-02,02,PowerTransformer
600896,{e6720ac1-da13-416a-8dc5-dd7703046be7},_e6720ac1-da13-416a-8dc5-dd7703046be7,01   AUR,764535,{7a927574-94c8-4c15-ae28-71843451b72c},_7a927574-94c8-4c15-ae28-71843451b72c,01AUR T01 230\85,01   AUR  T-01 230/85,XF-01   AUR  T-01 230/85,true,97-T-01,01,PowerTransformer
600896,{e6720ac1-da13-416a-8dc5-dd7703046be7},_e6720ac1-da13-416a-8dc5-dd7703046be7,01   AUR,764541,{bde0a170-ff23-4e8a-af76-f01b16cc4737},_bde0a170-ff23-4e8a-af76-f01b16cc4737,01AUR T02 230\85,01   AUR  T-02 230/85,XF-01   AUR  T-02 230/85,true,97-T-02,02,PowerTransformer
600896,{e6720ac1-da13-416a-8dc5-dd7703046be7},_e6720ac1-da13-416a-8dc5-dd7703046be7,01   AUR,764547,{410bd112-0751-472d-b064-84f39e631777},_410bd112-0751-472d-b064-84f39e631777,01AUR T03 230\85,01   AUR  T-03 230/85,XF-01   AUR  T-03 230/85,true,97-T-03,03,PowerTransformer
600896,{e6720ac1-da13-416a-8dc5-dd7703046be7},_e6720ac1-da13-416a-8dc5-dd7703046be7,01   AUR,764553,{6d710a78-4ae8-4f33-842b-034926719c3a},_6d710a78-4ae8-4f33-842b-034926719c3a,01AUR T04 230\23,01   AUR  T-04 230/23,XF-01   AUR  T-04 230/23,true,95-T-04,04,PowerTransformer
600896,{e6720ac1-da13-416a-8dc5-dd7703046be7},_e6720ac1-da13-416a-8dc5-dd7703046be7,01   AUR,764559,{799bd62a-fe54-4343-b7b1-e233c0b67d9e},_799bd62a-fe54-4343-b7b1-e233c0b67d9e,01AUR T05 230\23,01   AUR  T-05 230/23,XF-01   AUR  T-05 230/23,true,95-T-05,05,PowerTransformer
600896,{e6720ac1-da13-416a-8dc5-dd7703046be7},_e6720ac1-da13-416a-8dc5-dd7703046be7,01   AUR,764565,{1ef87ecd-28b5-4814-9dc2-4b67190680d1},_1ef87ecd-28b5-4814-9dc2-4b67190680d1,01AUR T06 230\23,01   AUR  T-06 230/23,XF-01   AUR  T-06 230/23,true,95-T-06,06,PowerTransformer
600901,{caa21fd7-b898-43ef-bc79-6a9c15c5ee9c},_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,01   AYO,765289,{9301b5a0-d142-4971-906e-48d38702f066},_9301b5a0-d142-4971-906e-48d38702f066,01AYO T01 230\23,01   AYO  T-01 230/23,XF-01   AYO  T-01 230/23,true,95-T-01,01,PowerTransformer
600901,{caa21fd7-b898-43ef-bc79-6a9c15c5ee9c},_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,01   AYO,765295,{8aec1176-72e7-459f-9346-2e02e263e3c9},_8aec1176-72e7-459f-9346-2e02e263e3c9,01AYO T02 230\23,01   AYO  T-02 230/23,XF-01   AYO  T-02 230/23,true,95-T-02,02,PowerTransformer
600901,{caa21fd7-b898-43ef-bc79-6a9c15c5ee9c},_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,01   AYO,765301,{a20a2628-fd3b-4e98-b224-cb1fb52c95c7},_a20a2628-fd3b-4e98-b224-cb1fb52c95c7,01AYO T03 230\23,01   AYO  T-03 230/23,XF-01   AYO  T-03 230/23,true,95-T-03,03,PowerTransformer
600901,{caa21fd7-b898-43ef-bc79-6a9c15c5ee9c},_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,01   AYO,765307,{9ba5aef0-a5d1-4607-b454-30f62d867a0f},_9ba5aef0-a5d1-4607-b454-30f62d867a0f,01AYO T04 230\85,01   AYO  T-04 230/85,XF-01   AYO  T-04 230/85,true,97-T-04,04,PowerTransformer
600901,{caa21fd7-b898-43ef-bc79-6a9c15c5ee9c},_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,01   AYO,765313,{1c773768-fe0d-43cf-860d-140d713dafc6},_1c773768-fe0d-43cf-860d-140d713dafc6,01AYO T05 230\85,01   AYO  T-05 230/85,XF-01   AYO  T-05 230/85,true,97-T-05,05,PowerTransformer
600906,{691a7cd4-cb00-4f3e-9f5b-787661f19261},_691a7cd4-cb00-4f3e-9f5b-787661f19261,01   AZC,765858,{d8bede7e-79a3-47a1-90d6-6525153ed23e},_d8bede7e-79a3-47a1-90d6-6525153ed23e,01AZC T01 230\23,01   AZC  T-01 230/23,XF-01   AZC  T-01 230/23,true,95-T-01,01,PowerTransformer
600906,{691a7cd4-cb00-4f3e-9f5b-787661f19261},_691a7cd4-cb00-4f3e-9f5b-787661f19261,01   AZC,765864,{225981b3-2f75-48f2-9edf-b505a19d4afc},_225981b3-2f75-48f2-9edf-b505a19d4afc,01AZC T02 230\23,01   AZC  T-02 230/23,XF-01   AZC  T-02 230/23,true,95-T-02,02,PowerTransformer
600906,{691a7cd4-cb00-4f3e-9f5b-787661f19261},_691a7cd4-cb00-4f3e-9f5b-787661f19261,01   AZC,765870,{e639a0b0-cd62-4e0b-8dca-9b69b4bc6f57},_e639a0b0-cd62-4e0b-8dca-9b69b4bc6f57,01AZC T03 230\23,01   AZC  T-03 230/23,XF-01   AZC  T-03 230/23,true,95-T-03,03,PowerTransformer
600911,{4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b},_4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b,01   BAR,766346,{2dcb3c7a-50cd-4de7-bdc2-c4f82ef7d34b},_2dcb3c7a-50cd-4de7-bdc2-c4f82ef7d34b,01BAR T01 85\23,01   BAR  T-01  85/23,XF-01   BAR  T-01  85/23,true,75-T-01,01,PowerTransformer
600911,{4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b},_4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b,01   BAR,766352,{e9085b57-1736-4eb9-927b-1121f181b603},_e9085b57-1736-4eb9-927b-1121f181b603,01BAR T02 85\23,01   BAR  T-02  85/23,XF-01   BAR  T-02  85/23,true,75-T-02,02,PowerTransformer
600916,{29055c28-a075-4814-b1c5-021a58e472ff},_29055c28-a075-4814-b1c5-021a58e472ff,01   BBV,766648,{8bcd800d-ed13-4b11-b1bf-ef9dcfbde72c},_8bcd800d-ed13-4b11-b1bf-ef9dcfbde72c,01BBV T01 230\13.8,01   BBV  T-01 230/13.8,XF-01   BBV  T-01 230/13.8,true,94-T-01,01,PowerTransformer
600916,{29055c28-a075-4814-b1c5-021a58e472ff},_29055c28-a075-4814-b1c5-021a58e472ff,01   BBV,766653,{4cb9c35b-fcd6-4879-8c77-1baf9ec97b4f},_4cb9c35b-fcd6-4879-8c77-1baf9ec97b4f,01BBV T02 230\13.8,01   BBV  T-02 230/13.8,XF-01   BBV  T-02 230/13.8,true,94-T-02,02,PowerTransformer
600946,{2ac2068c-b97f-433c-897c-861f5e93fd2c},_2ac2068c-b97f-433c-897c-861f5e93fd2c,01   CAR,770776,{de5546b1-49b3-472f-a20e-c70fc2c438fe},_de5546b1-49b3-472f-a20e-c70fc2c438fe,01CAR T01 85\23,01   CAR  T-01  85/23,XF-01   CAR  T-01  85/23,true,75-T-01,01,PowerTransformer
600946,{2ac2068c-b97f-433c-897c-861f5e93fd2c},_2ac2068c-b97f-433c-897c-861f5e93fd2c,01   CAR,770782,{e4c830c0-a5df-4809-8233-7d78e8c49b9c},_e4c830c0-a5df-4809-8233-7d78e8c49b9c,01CAR T02 85\23,01   CAR  T-02  85/23,XF-01   CAR  T-02  85/23,true,75-T-02,02,PowerTransformer
600946,{2ac2068c-b97f-433c-897c-861f5e93fd2c},_2ac2068c-b97f-433c-897c-861f5e93fd2c,01   CAR,770788,{e0e38133-bf02-4e3e-97b3-028e9b78a3a5},_e0e38133-bf02-4e3e-97b3-028e9b78a3a5,01CAR T03 85\23,01   CAR  T-03  85/23,XF-01   CAR  T-03  85/23,true,75-T-03,03,PowerTransformer
600946,{2ac2068c-b97f-433c-897c-861f5e93fd2c},_2ac2068c-b97f-433c-897c-861f5e93fd2c,01   CAR,770794,{15c5f514-468f-40d1-979a-243eb3757b86},_15c5f514-468f-40d1-979a-243eb3757b86,01CAR T04 85\23,01   CAR  T-04  85/23,XF-01   CAR  T-04  85/23,true,75-T-04,04,PowerTransformer
600956,{3b8f71b6-63b3-44f7-826e-2f66bee5cc55},_3b8f71b6-63b3-44f7-826e-2f66bee5cc55,01   CDS,771543,{4cf6bf0d-82bc-437d-8b39-40bd8b83de6d},_4cf6bf0d-82bc-437d-8b39-40bd8b83de6d,01CDS T01 230\23,01   CDS  T-01 230/23,XF-01   CDS  T-01 230/23,true,95-T-01,01,PowerTransformer
600966,{04b795a5-2a91-4a6a-8f4f-6686d0efb9f6},_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,01   CEI,772412,{a19f7331-c19c-4e62-9c53-0cfe3060f147},_a19f7331-c19c-4e62-9c53-0cfe3060f147,01CEI T01 230\23,01   CEI  T-01 230/23,XF-01   CEI  T-01 230/23,true,95-T-01,01,PowerTransformer
600966,{04b795a5-2a91-4a6a-8f4f-6686d0efb9f6},_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,01   CEI,772418,{62cf86f4-851e-48d3-a13a-92ad7f30375b},_62cf86f4-851e-48d3-a13a-92ad7f30375b,01CEI T02 230\23,01   CEI  T-02 230/23,XF-01   CEI  T-02 230/23,true,95-T-02,02,PowerTransformer
600966,{04b795a5-2a91-4a6a-8f4f-6686d0efb9f6},_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,01   CEI,772424,{3eee1785-5c7f-4381-bbf4-93e1dd2179b3},_3eee1785-5c7f-4381-bbf4-93e1dd2179b3,01CEI T03 230\23,01   CEI  T-03 230/23,XF-01   CEI  T-03 230/23,true,95-T-03,03,PowerTransformer
600986,{7743c32b-1f3b-4945-b4a2-1360203c000b},_7743c32b-1f3b-4945-b4a2-1360203c000b,01   CFI,772821,{9edb72f2-8fcb-4b2c-a0d6-9303365f076b},_9edb72f2-8fcb-4b2c-a0d6-9303365f076b,01CFI T01 230\23,01   CFI  T-01 230/23,XF-01   CFI  T-01 230/23,true,95-T-01,01,PowerTransformer
600991,{1ad0ffc2-01fb-4efe-95b6-2a1417d95a99},_1ad0ffc2-01fb-4efe-95b6-2a1417d95a99,01   CFZ,772970,{1e111e06-897f-4e30-b98a-5540710365d3},_1e111e06-897f-4e30-b98a-5540710365d3,01CFZ T01 85\4.16,01   CFZ  T-01  85/4.16,XF-01   CFZ  T-01  85/4.16,true,72-T-01,01,PowerTransformer
600991,{1ad0ffc2-01fb-4efe-95b6-2a1417d95a99},_1ad0ffc2-01fb-4efe-95b6-2a1417d95a99,01   CFZ,772975,{0f121f6e-3e44-4869-a9ad-3595215cb183},_0f121f6e-3e44-4869-a9ad-3595215cb183,01CFZ T02 85\4.16,01   CFZ  T-02  85/4.16,XF-01   CFZ  T-02  85/4.16,true,72-T-02,02,PowerTransformer
600996,{fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c},_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,01   CHA,773436,{69c52bef-4223-44fb-86b1-69cefe8ef614},_69c52bef-4223-44fb-86b1-69cefe8ef614,01CHA T01 85\23,01   CHA  T-01  85/23,XF-01   CHA  T-01  85/23,true,75-T-01,01,PowerTransformer
