"PowerTransformer:
ID","PowerTransformer:
transformerType","PowerTransformer:
InternalId","PowerTransformer:
Name","PowerTransformer:
Parent","PowerTransformer:
ObjectType"
_27df3174-995d-4cce-9b84-254f79a5653b,voltageControl,763318,01ATI T01 230\23,_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,PowerTransformer
_d6cd9eaa-a3dc-42fb-a185-0bdb878ac567,voltageControl,763324,01ATI T02 230\23,_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,PowerTransformer
_aa00bb24-532e-43d9-bd02-111eed89d365,voltageControl,763330,01ATI T03 230\23,_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,PowerTransformer
_4080cf7f-8acf-424c-8c0c-981887baabc8,voltageControl,763768,01ATK T01 230\23,_3771b127-6ba8-4e93-9b6a-19f2b9f37357,PowerTransformer
_9b99ce34-d434-4dd7-982b-037ca8de9268,voltageControl,763774,01ATK T02 230\23,_3771b127-6ba8-4e93-9b6a-19f2b9f37357,PowerTransformer
_7a927574-94c8-4c15-ae28-71843451b72c,voltageControl,764535,01AUR T01 230\85,_e6720ac1-da13-416a-8dc5-dd7703046be7,PowerTransformer
_bde0a170-ff23-4e8a-af76-f01b16cc4737,voltageControl,764541,01AUR T02 230\85,_e6720ac1-da13-416a-8dc5-dd7703046be7,PowerTransformer
_410bd112-0751-472d-b064-84f39e631777,voltageControl,764547,01AUR T03 230\85,_e6720ac1-da13-416a-8dc5-dd7703046be7,PowerTransformer
_6d710a78-4ae8-4f33-842b-034926719c3a,voltageControl,764553,01AUR T04 230\23,_e6720ac1-da13-416a-8dc5-dd7703046be7,PowerTransformer
_799bd62a-fe54-4343-b7b1-e233c0b67d9e,voltageControl,764559,01AUR T05 230\23,_e6720ac1-da13-416a-8dc5-dd7703046be7,PowerTransformer
_1ef87ecd-28b5-4814-9dc2-4b67190680d1,voltageControl,764565,01AUR T06 230\23,_e6720ac1-da13-416a-8dc5-dd7703046be7,PowerTransformer
_9301b5a0-d142-4971-906e-48d38702f066,voltageControl,765289,01AYO T01 230\23,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,PowerTransformer
_8aec1176-72e7-459f-9346-2e02e263e3c9,voltageControl,765295,01AYO T02 230\23,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,PowerTransformer
_a20a2628-fd3b-4e98-b224-cb1fb52c95c7,voltageControl,765301,01AYO T03 230\23,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,PowerTransformer
_9ba5aef0-a5d1-4607-b454-30f62d867a0f,voltageControl,765307,01AYO T04 230\85,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,PowerTransformer
_1c773768-fe0d-43cf-860d-140d713dafc6,voltageControl,765313,01AYO T05 230\85,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,PowerTransformer
_d8bede7e-79a3-47a1-90d6-6525153ed23e,voltageControl,765858,01AZC T01 230\23,_691a7cd4-cb00-4f3e-9f5b-787661f19261,PowerTransformer
_225981b3-2f75-48f2-9edf-b505a19d4afc,voltageControl,765864,01AZC T02 230\23,_691a7cd4-cb00-4f3e-9f5b-787661f19261,PowerTransformer
_e639a0b0-cd62-4e0b-8dca-9b69b4bc6f57,voltageControl,765870,01AZC T03 230\23,_691a7cd4-cb00-4f3e-9f5b-787661f19261,PowerTransformer
_2dcb3c7a-50cd-4de7-bdc2-c4f82ef7d34b,voltageControl,766346,01BAR T01 85\23,_4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b,PowerTransformer
_e9085b57-1736-4eb9-927b-1121f181b603,voltageControl,766352,01BAR T02 85\23,_4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b,PowerTransformer
_8bcd800d-ed13-4b11-b1bf-ef9dcfbde72c,fix,766648,01BBV T01 230\13.8,_29055c28-a075-4814-b1c5-021a58e472ff,PowerTransformer
_4cb9c35b-fcd6-4879-8c77-1baf9ec97b4f,fix,766653,01BBV T02 230\13.8,_29055c28-a075-4814-b1c5-021a58e472ff,PowerTransformer
_de5546b1-49b3-472f-a20e-c70fc2c438fe,voltageControl,770776,01CAR T01 85\23,_2ac2068c-b97f-433c-897c-861f5e93fd2c,PowerTransformer
_e4c830c0-a5df-4809-8233-7d78e8c49b9c,voltageControl,770782,01CAR T02 85\23,_2ac2068c-b97f-433c-897c-861f5e93fd2c,PowerTransformer
_e0e38133-bf02-4e3e-97b3-028e9b78a3a5,voltageControl,770788,01CAR T03 85\23,_2ac2068c-b97f-433c-897c-861f5e93fd2c,PowerTransformer
_15c5f514-468f-40d1-979a-243eb3757b86,voltageControl,770794,01CAR T04 85\23,_2ac2068c-b97f-433c-897c-861f5e93fd2c,PowerTransformer
_4cf6bf0d-82bc-437d-8b39-40bd8b83de6d,voltageControl,771543,01CDS T01 230\23,_3b8f71b6-63b3-44f7-826e-2f66bee5cc55,PowerTransformer
_a19f7331-c19c-4e62-9c53-0cfe3060f147,voltageControl,772412,01CEI T01 230\23,_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,PowerTransformer
_62cf86f4-851e-48d3-a13a-92ad7f30375b,voltageControl,772418,01CEI T02 230\23,_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,PowerTransformer
_3eee1785-5c7f-4381-bbf4-93e1dd2179b3,voltageControl,772424,01CEI T03 230\23,_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,PowerTransformer
_9edb72f2-8fcb-4b2c-a0d6-9303365f076b,voltageControl,772821,01CFI T01 230\23,_7743c32b-1f3b-4945-b4a2-1360203c000b,PowerTransformer
_1e111e06-897f-4e30-b98a-5540710365d3,fix,772970,01CFZ T01 85\4.16,_1ad0ffc2-01fb-4efe-95b6-2a1417d95a99,PowerTransformer
_0f121f6e-3e44-4869-a9ad-3595215cb183,fix,772975,01CFZ T02 85\4.16,_1ad0ffc2-01fb-4efe-95b6-2a1417d95a99,PowerTransformer
_69c52bef-4223-44fb-86b1-69cefe8ef614,voltageControl,773436,01CHA T01 85\23,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,PowerTransformer
_4d264053-bc8a-4015-9a97-88b4f8ddd360,voltageControl,773442,01CHA T02 85\23,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,PowerTransformer
_5bebbad8-bce3-4f1c-9999-96d8137f5c5b,voltageControl,773448,01CHA T03 85\23,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,PowerTransformer
_ae78315c-3f25-4df8-93a7-9af1f3f6dd44,voltageControl,773454,01CHA T04 85\23,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,PowerTransformer
_1762aba6-a28d-405a-9887-227ab48d6a32,voltageControl,773460,01CHA T05 230\85,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,PowerTransformer
_7852ff3c-38e5-4d19-9a2d-4bc04eb67013,voltageControl,774134,01CHN T01 230\23,_2b32e3e6-bba5-480e-8fca-887d51b19459,PowerTransformer
_5aa1d4cc-888c-450d-851c-6d7db2fe15e8,voltageControl,774397,01CJM T01 230\23,_e8340665-d238-4ecd-b922-efad4527a818,PowerTransformer
_636b19b7-7882-49f5-a41b-7214ba099985,voltageControl,774403,01CJM T02 230\23,_e8340665-d238-4ecd-b922-efad4527a818,PowerTransformer
_9ff6b135-826c-48e2-92d1-be00134492f7,voltageControl,774409,01CJM T03 230\23,_e8340665-d238-4ecd-b922-efad4527a818,PowerTransformer
