"RatioVariation:
InternalId","RatioVariation:
ID","RatioVariation:
Name","RatioVariation:
TapPosition","RatioVariation:
Parent","RatioVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","RatioVariation:
RatioVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
770325,_59445015-5425-483f-9653-5a73174c987e,RatioVar_8,8,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770326,_b7d578ab-b06c-4bf3-b026-70695256e977,RatioVar_9,9,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770327,_43983414-7a9d-4b76-a63b-c290191a4835,RatioVar_10,10,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770328,_29b19bf3-ff8e-4150-9601-5ef8e49d8123,RatioVar_11,11,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770329,_68346bbc-a8fe-4e46-8d3b-72291b741b57,RatioVar_12,12,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770330,_f96bda35-cd8e-4a06-a6ba-af55ea7c3359,RatioVar_13,13,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770331,_1689da7d-79ca-4b5c-a6f6-c33842676b19,RatioVar_14,14,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770332,_4a463bd8-3680-477d-9831-82dbe5d08709,RatioVar_15,15,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770333,_c8fa9d9d-bb4c-4c98-b3f2-a68abd9bca04,RatioVar_16,16,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770334,_64186245-5d19-4c95-82ae-9a0c026f218e,RatioVar_17,17,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770335,_e74f4de9-e141-4f6f-9727-a1298b86ae7a,RatioVar_18,18,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770336,_d83c41ae-7b64-41ff-ae5a-bb921a045673,RatioVar_19,19,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770337,_3638d58b-8269-4186-be7b-6b4487e0d7cb,RatioVar_20,20,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770338,_a2bd9320-35f3-49c6-b9bc-86f4ef7c3647,RatioVar_21,21,_004dc3e7-0df2-4225-991e-0831471f5d2f,RatioVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770362,_b28a2f6d-476e-4304-9f3b-5a52e51dc5cb,RatioVar_6,6,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770363,_cde9367e-891a-4fa7-8553-5975d858e51e,RatioVar_7,7,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770364,_7df496f0-9b4b-44a9-88b1-b393e90dab18,RatioVar_8,8,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770365,_6c433b16-443d-4a92-acf0-ab249dfb9a4e,RatioVar_9,9,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770366,_b3b6005c-7b4c-4515-ada3-2029ecdacce7,RatioVar_10,10,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770367,_2c8dac0f-76b7-4681-b001-0b9bb7552821,RatioVar_11,11,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770368,_248ea7ba-9c2a-40ba-b3d7-7019cd32f8b4,RatioVar_12,12,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770369,_8da1eee3-8245-4dbd-a7dd-2641103ddebb,RatioVar_13,13,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770370,_a3921559-0880-4510-91a6-d8c89b31f219,RatioVar_14,14,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770371,_9cacb04e-45ef-418a-9894-6974cada805f,RatioVar_15,15,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770372,_76a63489-636c-45fd-81d2-649f40f00b9d,RatioVar_16,16,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770373,_e13e6cc2-2130-4025-8e00-be4e8829daae,RatioVar_17,17,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770374,_6638a0f4-8be5-412e-9519-82f1c0ad7e2d,RatioVar_18,18,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770375,_3e69775c-0045-49fd-8e73-850b6ac44edf,RatioVar_19,19,_ad014201-d9e0-4beb-819e-8e8e229cfb38,RatioVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
