"GeneratingUnit:
ID","GeneratingUnit:
Name","GeneratingUnit:
AGCFlag","GeneratingUnit:
MaximumDeratedMW","GeneratingUnit:
maxOperatingP","GeneratingUnit:
MinimumDeratedMW","GeneratingUnit:
minOperatingP","GeneratingUnit:
ratedNetMaxP","GeneratingUnit:
ratedNetMinP","GeneratingUnit:
InternalId","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_6fb069ac-5c0e-4c9b-8eec-d1312c84010a,06ECH-U1 Unit,true,25.300000000000001,25.300000000000001,0,0,25.300000000000001,0,2364281,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_7ee6b234-ebbe-4dc7-8ad5-d95e7cab6194,06ECH-U2 Unit,true,21,21,0,0,21,0,2364282,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_110f0178-36f2-4b45-9c3b-ae35dd163873,06ECH-U3 Unit,true,25.300000000000001,25.300000000000001,0,0,25.300000000000001,0,2364283,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_2724f95c-5b87-4dc5-99b3-a19deec984cc,06ECH-U4 Unit,true,23.199999999999999,23.199999999999999,0,0,23.199999999999999,0,2364284,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_d38efb63-3f3f-4d13-8c46-34a6bd270c75,06ECH-U5 Unit,true,25.300000000000001,25.300000000000001,0,0,25.300000000000001,0,2364285,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_9f1c15a4-ed82-4131-a505-7366f3bc5512,06ECH-U6 Unit,true,14.699999999999999,14.699999999999999,0,0,14.699999999999999,0,2364286,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_e83f8cbb-a6d6-4272-9b1d-a9ffd677d81c,06ECH-U7 Unit,true,23.199999999999999,23.199999999999999,0,0,23.199999999999999,0,2364287,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_7e7760c7-cbc5-44c2-8288-9e773587ae04,06ECH-U8 Unit,true,42,42,0,0,42,0,2364288,_a2a3a931-3fec-4795-99d8-812d63e3fcb3,WindGeneratingUnit
_6299f3db-8ddb-478f-95b6-ce83284cf8b6,06ECV-U1 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364294,_d06e8e24-1d4f-48f2-8737-5f0900968d9f,WindGeneratingUnit
_44609abf-d115-44c0-b20c-efa46b181b36,06ECV-U2 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364295,_d06e8e24-1d4f-48f2-8737-5f0900968d9f,WindGeneratingUnit
_9701f9df-34af-4f22-bd53-ae25c7237a13,06ECV-U3 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364296,_d06e8e24-1d4f-48f2-8737-5f0900968d9f,WindGeneratingUnit
_6f50e209-1aed-4c8d-89e1-9a4d19d56048,06ECV-U4 Unit,true,9.9000000000000004,9.9000000000000004,0,0,9.9000000000000004,0,2364297,_d06e8e24-1d4f-48f2-8737-5f0900968d9f,WindGeneratingUnit
_c2ea56cc-1f99-4566-9363-4d3cd91f3621,06EMA-U1 Unit,true,9.9000000000000004,9.9000000000000004,0,0,9.9000000000000004,0,2364303,_8bbe6eb2-eae2-4a0e-aa1c-d5795f650b31,WindGeneratingUnit
_c6cd3d54-a60e-430c-b735-0ea224d340be,06EMA-U2 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364304,_8bbe6eb2-eae2-4a0e-aa1c-d5795f650b31,WindGeneratingUnit
_5c62d757-9000-4a99-a80b-fe885a63d0b3,06EMA-U3 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364305,_8bbe6eb2-eae2-4a0e-aa1c-d5795f650b31,WindGeneratingUnit
_7e0597e1-1109-420e-9567-f3b18d7c3fbe,06EMA-U4 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364306,_8bbe6eb2-eae2-4a0e-aa1c-d5795f650b31,WindGeneratingUnit
_7cbe05a5-0709-4c22-890f-2d19adcc9e8d,06EMC-PTA Unit,true,100.8,100.8,0,0,100.8,0,2364313,_e9244add-0365-4646-b8db-980d8d979e74,WindGeneratingUnit
_96f92c4a-45c9-4823-a9f1-7b7ce808659c,06EMC-U1 Unit,true,33.600000000000001,33.600000000000001,0,0,33.600000000000001,0,2364314,_e9244add-0365-4646-b8db-980d8d979e74,WindGeneratingUnit
_297db11a-de90-46c9-a8c5-93c89cfdd605,06EMC-U2 Unit,true,21,21,0,0,21,0,2364315,_e9244add-0365-4646-b8db-980d8d979e74,WindGeneratingUnit
_6dd07035-02f9-42f9-916e-5af141b2f256,06EMC-U3 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364316,_e9244add-0365-4646-b8db-980d8d979e74,WindGeneratingUnit
_5330a59e-8bbb-4dd7-b394-158551982d33,06EMC-U4 Unit,true,21,21,0,0,21,0,2364317,_e9244add-0365-4646-b8db-980d8d979e74,WindGeneratingUnit
_24d7121e-a9f1-4934-9c14-47e0ebc9f07c,06EMP-PTA Unit,true,306,306,0,0,306,0,2364331,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_ed0fdabc-099b-41a8-953b-63f746d0018a,06EMP-U1 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364332,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_e5228207-2f6a-408f-912f-cfd219f4312b,06EMP-U10 Unit,true,32.399999999999999,32.399999999999999,0,0,32.399999999999999,0,2364333,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_c90ebbaf-defa-4dc2-a15a-60485045807d,06EMP-U11 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364334,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_53b086ee-5247-47af-8f50-a600f4bc1746,06EMP-U2 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364335,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_74174941-977c-4a2f-962d-086c4f5b8d67,06EMP-U3 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364336,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_4f29ea6b-9a1d-425c-b23b-0fc1418af9a4,06EMP-U4 Unit,true,36,36,0,0,36,0,2364337,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_e16337d0-6024-4848-9120-84c4e2ac9090,06EMP-U5 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364338,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_edb830ff-dfe7-4734-afe2-07527e42bb30,06EMP-U6 Unit,true,36,36,0,0,36,0,2364339,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_ed1f4ca7-0500-4ca8-a9c8-04d030238471,06EMP-U7 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364340,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_2a2b10d3-68d8-4ba4-ae1b-fc5cebba0e3c,06EMP-U8 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364341,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_c18038c6-ec3e-4b45-bda1-d34aacd4e277,06EMP-U9 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364342,_00ce3544-0eb0-4549-9b69-c12bd7913a04,WindGeneratingUnit
_f4ce35f1-f8d6-4c83-9424-53810ed1e931,06EMQ-PTA Unit,true,250,250,2,0,250,2,2364357,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_973507f0-95ba-404f-988d-db8ed53ec53b,06EMQ-U1 Unit,true,20,20,0,0,20,0,2364358,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_73518999-bf45-4a04-aa6a-74199305f2fe,06EMQ-U10 Unit,true,20,20,0,0,20,0,2364359,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_eb667298-a1f6-4ff6-bc8e-53eec25b4a79,06EMQ-U11 Unit,true,20,20,0,0,20,0,2364360,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_a0ef903d-ae32-441d-96a3-4775c165a39a,06EMQ-U12 Unit,true,20,20,0,0,20,0,2364361,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_8e00fcec-fb70-4a29-a4f9-cb9857bec6e8,06EMQ-U2 Unit,true,22.5,22.5,0,2,22.5,0,2364362,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_69a518e9-3aca-4f4a-8a7c-1c9ed7517e1c,06EMQ-U3 Unit,true,20,20,0,0,20,0,2364363,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_80997d7c-b63f-4454-95d3-d1370bf9ce6e,06EMQ-U4 Unit,true,22.5,22.5,0,0,22.5,0,2364364,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_a8e5bd98-5ff8-4f12-8ceb-bb44f0308e7a,06EMQ-U5 Unit,true,20,20,0,0,20,0,2364365,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_649b4d68-77bf-49d1-a62a-5545681270bb,06EMQ-U6 Unit,true,20,20,0,0,20,0,2364366,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_f45ef79e-240a-41cc-94e5-e22cab2e6c27,06EMQ-U7 Unit,true,22.5,22.5,0,0,22.5,0,2364367,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_183d4e51-1975-4ea0-9b31-55bab4bcb004,06EMQ-U8 Unit,true,20,20,0,0,20,0,2364368,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_3435c58b-367b-4d6c-845c-56178c4eaf51,06EMQ-U9 Unit,true,22.5,22.5,0,0,22.5,0,2364369,_fa3cc33b-6c71-4955-9b72-3b5f07ab2a68,WindGeneratingUnit
_084d3114-c9c9-4d8c-8565-b683d6fcbafa,06EMS-U1 Unit,true,26.399999999999999,26.399999999999999,0,0,26.399999999999999,0,2364374,_7d94c01c-11ea-4afc-81ca-b6d159aa88d3,WindGeneratingUnit
_90267e13-2e7f-45cf-93a2-387d78ece93a,06EMS-U2 Unit,true,23.100000000000001,23.100000000000001,0,0,23.100000000000001,0,2364375,_7d94c01c-11ea-4afc-81ca-b6d159aa88d3,WindGeneratingUnit
_b57f11b3-c810-4183-bd77-798c7a57f8bb,06EMS-U3 Unit,true,13.199999999999999,13.199999999999999,0,0,13.199999999999999,0,2364376,_7d94c01c-11ea-4afc-81ca-b6d159aa88d3,WindGeneratingUnit
_4c6effc5-cdbb-4197-9a77-abdb028978ae,06EMT-PTA Unit,true,51.75,51.75,0,0,51.75,0,2364381,_77d5b5ca-85ca-48a2-a22e-fc4820031a44,WindGeneratingUnit
_dcb853c4-93ba-468a-a6d4-229cb04e6d2a,06EMT-U1 Unit,true,27.600000000000001,27.600000000000001,0,0,27.600000000000001,0,2364382,_77d5b5ca-85ca-48a2-a22e-fc4820031a44,WindGeneratingUnit
_54cee35b-c40d-4ee8-a2b3-df5a28d1b91e,06EMT-U2 Unit,true,24.149999999999999,24.149999999999999,0,0,24.149999999999999,0,2364383,_77d5b5ca-85ca-48a2-a22e-fc4820031a44,WindGeneratingUnit
_11029eea-efd8-4df5-a74b-6f3feb8a0135,06EOS-U1 Unit,true,2.75,2.75,0,0,2.75,0,2364393,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_596f888d-148f-482c-ad74-a88c1fb30a6b,06EOS-U2 Unit,true,2.75,2.75,0,0,2.75,0,2364394,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_1a583d8c-59cc-4ea9-89d7-670b630e48be,06EOS-U3 Unit,true,2.75,2.75,0,0,2.75,0,2364395,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_7ddbf4d7-d159-412d-aba4-92a40528d8dc,06EOS-U4 Unit,true,2.75,2.75,0,0,2.75,0,2364396,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_0feddc93-0741-41fb-8e81-85decf71d49c,06EOS-U5 Unit,true,2.75,2.75,0,0,2.75,0,2364397,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_37f8c32c-f333-4348-a13b-bd8ebb3c8c53,06EOS-U6 Unit,true,2.75,2.75,0,0,2.75,0,2364398,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_584746f5-72e3-4a53-989a-b5a69a11d81d,06EOS-U7 Unit,true,2.75,2.75,0,0,2.75,0,2364399,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_cb3d6e71-18d2-4e87-893e-e22083d9f0bd,06EOS-U8 Unit,true,2.75,2.75,0,0,2.75,0,2364400,_d35f9025-f5b4-4ad9-bd6a-d9faff6ca5e1,WindGeneratingUnit
_450db844-36a1-4b55-8873-7b4a89f8b9e4,06EPR-U1 Unit,true,10.800000000000001,10.800000000000001,0,0,10.800000000000001,0,2364407,_ce24213e-b6d5-40f5-9959-9351e2066807,WindGeneratingUnit
_3ef3f807-049f-42e4-b6b7-6854e76ac304,06EPR-U2 Unit,true,10.800000000000001,10.800000000000001,0,0,10.800000000000001,0,2364408,_ce24213e-b6d5-40f5-9959-9351e2066807,WindGeneratingUnit
_57f4b327-dec9-4f94-b0b8-e5a43794413c,06EPR-U3 Unit,true,10.800000000000001,10.800000000000001,0,0,10.800000000000001,0,2364409,_ce24213e-b6d5-40f5-9959-9351e2066807,WindGeneratingUnit
_b5e0612f-18e0-4466-9c8d-540457004566,06EPR-U4 Unit,true,10.800000000000001,10.800000000000001,0,0,10.800000000000001,0,2364410,_ce24213e-b6d5-40f5-9959-9351e2066807,WindGeneratingUnit
_da649f7c-f1e0-4c5a-83a9-634c34485482,06EPR-U5 Unit,true,10.800000000000001,10.800000000000001,0,0,10.800000000000001,0,2364411,_ce24213e-b6d5-40f5-9959-9351e2066807,WindGeneratingUnit
_3897eac1-b649-41e2-ba6b-2d464842ea4f,06ERY-U1 Unit,true,21.600000000000001,21.600000000000001,0,0,21.600000000000001,0,2364430,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_a238cfe3-dc2d-492f-88ef-5b0c329d0f95,06ERY-U10 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364431,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_dd68e801-a0ff-44c9-91ae-49aaf9fc1a0f,06ERY-U11 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364432,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_b4e6d414-5220-449e-8944-f1ce5edefa66,06ERY-U12 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364433,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_e60847fb-f781-4e3a-a853-6db8607a8f1e,06ERY-U13 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364434,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_eb6917f1-2645-4234-bb01-0a258f3a98ce,06ERY-U14 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364435,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_225354d5-164d-4772-a162-5f56284c855f,06ERY-U15 Unit,true,21.600000000000001,21.600000000000001,0,0,21.600000000000001,0,2364436,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_c895876e-3c23-44d4-8ed3-acab4f5b0db8,06ERY-U16 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364437,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_377602b2-5a66-4874-8408-e3f663593b17,06ERY-U17 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364438,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_2cc361f7-e76e-40e8-9f23-91a8b86cc94c,06ERY-U2 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364439,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_4ed13450-9ea7-4fad-9327-0ae935b22f57,06ERY-U3 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364440,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_f0beae1f-74c2-4bbf-8205-954257bbf6d8,06ERY-U4 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364441,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_50514ded-c8af-4079-800d-e246089c0aac,06ERY-U5 Unit,true,25.199999999999999,25.199999999999999,0,0,25.199999999999999,0,2364442,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_e25ea8f7-9998-4f75-8045-107aefa475cb,06ERY-U6 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364443,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_99c3cc45-770d-4c02-a13a-519cbdc9fbc2,06ERY-U7 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364444,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_3e64d090-a865-4392-9d9d-f1a6fb077617,06ERY-U8 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364445,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_ad09bd25-a638-42e3-a271-2654410e61aa,06ERY-U9 Unit,true,28.800000000000001,28.800000000000001,0,0,28.800000000000001,0,2364446,_c1a553b0-cad0-49ec-9f3e-4d9b5e5d6e77,WindGeneratingUnit
_aa514eb3-a3d1-4bcb-8f93-d52468a3848b,06LIA-U1 Unit,true,17.324999999999999,17.324999999999999,0,0,17.324999999999999,0,2364460,_dc4cee8c-016c-40e5-a574-659900b41774,WindGeneratingUnit
_c896444f-b5aa-4671-a841-422bceaba54b,06LIA-U10 Unit,true,17.324999999999999,17.324999999999999,0,0,17.324999999999999,0,2364461,_dc4cee8c-016c-40e5-a574-659900b41774,WindGeneratingUnit
