"BusbarSection:
ID","BusbarSection:
Name","BusbarSection:
ctcpRegion","BusbarSection:
NAFlag","BusbarSection:
InternalId","BusbarSection:
Parent","BusbarSection:
ObjectType","MarketLoadZone:
Path","MarketLoadZone:
InternalId","MarketLoadZone:
Name","BusbarSection:
BusbarSectionAssignedToMarketLoadZone:
MarketLoadZone:
ID","MarketLoadZone:
Parent","MarketLoadZone:
ObjectType"
_73f2182a-266a-49f0-a12c-f89e21916ec1,01   AMD BD     6   c_,10,true,751223,_693c043f-b157-4db5-afb1-6540a25387b0,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_bb10d6ae-c56e-4847-8f47-023b6784f787,01   AMD B1  23    A,10,true,751236,_1ba2fa8a-2133-4197-b953-0a4da9eb20a1,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_6ab34ac0-3a15-4cc8-b809-7824227cf326,01   AML B1  400   A,10,true,757248,_a676292c-0e4c-4c02-9698-80ff2647b87d,BusbarSection,MMS/CENTRO SUR,38174507,CENTRO SUR,_88ed1d05-ffef-44d7-a2a9-01633852c58d,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_c7748576-8571-4bd2-b6a7-0b43970e26b3,01   AML B2  400   B,10,true,757250,_a676292c-0e4c-4c02-9698-80ff2647b87d,BusbarSection,MMS/CENTRO SUR,38174507,CENTRO SUR,_88ed1d05-ffef-44d7-a2a9-01633852c58d,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_2a4f790b-47ba-46d9-a9e0-75ec22269750,01   ANL B1  85    A,10,true,757308,_8b1557cd-9e8d-4dff-badb-c2235a5bd103,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_d9009020-1cac-4ce1-9a7a-332411c955c7,01   ANS B1  85    A,10,true,757463,_9296a3f0-c0ec-463b-af1f-be6b20e9992a,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_2a9a5fc4-910b-4161-af51-daafd689e2b1,01   ANS B2  85    B,10,true,757465,_9296a3f0-c0ec-463b-af1f-be6b20e9992a,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_95621852-2910-4959-9a54-993196e813aa,01   ANS B3  85    C,10,true,757467,_9296a3f0-c0ec-463b-af1f-be6b20e9992a,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_c269ad6c-0a01-4e2a-85cb-e6d87f379ccf,01   APA B1 85    A,10,true,758070,_150fb326-6df0-469b-bfb9-76a7ea9055ed,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_47072ef4-11d0-4463-8480-e5d85d78320a,01   APA B2 85    B,10,true,758072,_150fb326-6df0-469b-bfb9-76a7ea9055ed,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_50a1b2cb-5977-4053-a395-9413bf205368,01   APA B1 230   1,10,true,758247,_e11644d3-7173-43b1-a847-532fdebcbbad,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_8bdec757-ed92-4f6d-bbca-3e199128f13d,01   APA B2 230   2,10,true,758249,_e11644d3-7173-43b1-a847-532fdebcbbad,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_404d129c-960b-4160-9b8b-319aeb1180d5,01   ARA B1 85    A,10,true,758476,_04f6477a-b2ee-4f1a-bf01-cef28287baa9,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_6617cc9a-30f7-4723-8769-d09f7a4ea7b9,01   ARA B2 85    B,10,true,758478,_04f6477a-b2ee-4f1a-bf01-cef28287baa9,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_3a0d249f-e3ec-4edf-8818-790da447d26d,01   ARA BG 13.8  1,10,true,758576,_33844c00-b9a8-4ed9-9492-f145e7564f1e,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_416ab088-b610-4a04-90b1-48f9b8d0550e,01   ARA BD 23    C,10,true,758614,_979352a2-fd7b-48c2-8963-26a1be2e8e23,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_dcec1de9-0ff5-4f85-b279-50d004235768,01   ARA BD 23    D,10,true,758616,_979352a2-fd7b-48c2-8963-26a1be2e8e23,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_b447fd6d-3d84-4ea9-a386-99dd2233f9c1,01   ARX B1  230   A,10,true,760692,_3855e1b2-7187-43c4-845b-06adac836bc0,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_04630691-6129-4254-a4dd-a75e99a17b36,01   ASK B1  230   A,10,true,760810,_2f292d3e-312f-47f1-852a-d66c45f33c63,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_93e5697e-8f63-4593-9ff8-e3aaed3d0e74,01   ATE B1 85    A,10,true,761099,_de4f1de7-42ce-4ac1-b1f7-bcf9b55b7492,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
