"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","GeneratingUnit:
Path","GeneratingUnit:
InternalId","GeneratingUnit:
Name","SynchronousMachine:
SynchronousMachineMemberOfGeneratingUnit:
GeneratingUnit:
ID","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_f0145dc1-f823-4a13-b217-8c0214b8b97f,825448,UN-05,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U5 Unit,2102286,01NEC-U5 Unit,_0e250bd2-dce6-4774-ba10-77eb623dcb15,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_3e0f5869-19c1-4a07-b556-7d7c53682a2c,825450,UN-06,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U6 Unit,2102287,01NEC-U6 Unit,_b6c834be-d120-4c0c-be50-522537610ee8,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_728d9562-c5a8-4769-ab33-14507d8dfbb5,825452,UN-07,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U7 Unit,2102288,01NEC-U7 Unit,_0fe7ae13-76d7-4639-a5e2-7814a6826415,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_1a330a8f-bbb1-4204-a334-fcc01f151b1d,825454,UN-08,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U8 Unit,2102289,01NEC-U8 Unit,_b0c3767a-624f-45b2-a303-3cf9dc25441d,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_1fc48cec-8409-4c8c-a299-92febefc6f4a,825456,UN-09,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U9 Unit,2102290,01NEC-U9 Unit,_7e6c04e6-80f9-454c-a5bf-92df4f8d11fd,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_f6cbd249-0a85-4be0-ba72-2ff481d14854,827439,UN-01,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,Network/.Generation/01NONOALCO/01NON-U1 Unit,2102834,01NON-U1 Unit,_58abc09b-738a-4164-8e72-45778703f7c5,_d0807846-01e0-4a0e-8692-6980b2a23dab,ThermalGeneratingUnit
_cfa30060-71f6-4c5c-bf0e-df11b422d757,827441,UN-02,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,Network/.Generation/01NONOALCO/01NON-U2 Unit,2102847,01NON-U2 Unit,_68673c6e-7963-4d89-a016-15d6a62758e0,_d0807846-01e0-4a0e-8692-6980b2a23dab,ThermalGeneratingUnit
_cdfcfe73-aaa1-4546-ab69-8f66040a32ea,827443,UN-03,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,Network/.Generation/01NONOALCO/01NON-U3 Unit,2102860,01NON-U3 Unit,_5dd564de-79ea-4890-a4dd-a680be3b3e13,_d0807846-01e0-4a0e-8692-6980b2a23dab,ThermalGeneratingUnit
_469ad090-e372-4d7f-ac9d-19e3623aa614,827445,UN-04,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine,Network/.Generation/01NONOALCO/01NON-U4 Unit,2102873,01NON-U4 Unit,_11d1a18e-b250-4155-bbf0-9b0315e29a59,_d0807846-01e0-4a0e-8692-6980b2a23dab,ThermalGeneratingUnit
_81d82f90-f320-42a3-9f0f-76fdb00d3346,832999,UN-01,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U1 Unit,2102894,01PEO-U1 Unit,_9c4bf5fe-a86c-4a30-b5ff-ddc5e1ff6494,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_e39cad08-4106-4308-81e7-6764b215adaa,833001,UN-02,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U2 Unit,2102911,01PEO-U2 Unit,_1f0c5e0d-cb56-4cc4-a39f-f65a086baeed,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_be488c3c-c433-4f20-96f6-7d46dc5ae820,833003,UN-03,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U3 Unit,2102928,01PEO-U3 Unit,_f7492834-23ed-4b5a-ae32-64a16f175b60,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_11d9ea24-d9b0-44d4-8c25-05293c35596c,833005,UN-04,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U4 Unit,2102945,01PEO-U4 Unit,_6e6e98a7-f12f-4195-a8f2-3072a7dd8b8c,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_3d9d92aa-7213-4d43-8553-129a68fd4fd4,833007,UN-05,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U5 Unit,2102962,01PEO-U5 Unit,_71ef0ef5-cd6e-48aa-a2b7-6e0c1c567373,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_c0c10e65-f33d-45ab-810f-8be58f859cff,833009,UN-06,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U6 Unit,2102979,01PEO-U6 Unit,_d2f9009b-60ec-4de0-ab43-cc497bfd4c15,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_0d7bfe21-cbea-4b97-8715-7e38269f4c95,833032,UN-07,_188c6f8d-1ff1-4004-98d8-35549b49ec7d,SynchronousMachine,Network/.Generation/01PETACALCO/01PEO-U7 Unit,2102996,01PEO-U7 Unit,_b7142346-fc83-4bca-8649-985f027e8f0d,_d6e77839-7366-4e5a-9032-95e57d7683c1,ThermalGeneratingUnit
_52c5d99e-5b1a-4b1c-8351-d7098896ddf0,839297,UN-01,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U1 Unit,2103024,01PTA-U1 Unit,_813c1e3d-2f5a-4d6e-9b00-32ed6895cc31,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_6f31f90f-1a97-4ebf-b697-cdd41bec1a67,839299,UN-10,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U10 Unit,2103035,01PTA-U10 Unit,_fc5d213a-1793-407d-a2e1-593c1882a432,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_f2c3fc34-d437-4fe2-9e6a-68a3a71c88fd,839301,UN-11,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U11 Unit,2103046,01PTA-U11 Unit,_319ae8d3-31af-4f49-9a60-06c837437942,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_33b4fe5f-2430-4fd7-aeb7-c98254d63168,839303,UN-12,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U12 Unit,2103057,01PTA-U12 Unit,_46b3a1e2-93ab-44ac-8b68-d85efeadd5e5,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_9fcb1324-27d0-40dc-8563-05dba958652c,839305,UN-02,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U2 Unit,2103068,01PTA-U2 Unit,_95ee7290-ff59-4b39-834c-e6ec060374ce,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_064f34fd-e38d-4603-8e5b-152b652fd4e7,839307,UN-03,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U3 Unit,2103079,01PTA-U3 Unit,_514fcb7f-ad22-4573-a6b0-c3033e29a427,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_084a7720-65d6-433f-9a5a-54bd298fca5b,839309,UN-04,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U4 Unit,2103090,01PTA-U4 Unit,_495493cc-ff6d-408d-8407-38b8255defab,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_a7450c93-d45d-4ffb-8379-a3311ef3aca8,839311,UN-05,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U5 Unit,2103101,01PTA-U5 Unit,_6bf6025d-9c1b-491a-a6c7-931cf530438d,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_be743ba2-7f58-4cda-b4b3-d98b56c36f5f,839313,UN-06,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U6 Unit,2103112,01PTA-U6 Unit,_1525e09f-95bb-4fe6-ad19-093e5637a85b,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_a2a3f2ef-33d5-48ae-931f-d4040818dd72,839315,UN-07,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U7 Unit,2103123,01PTA-U7 Unit,_b258db8c-e20b-4139-b2c6-051d8ffc9d4f,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_443e3207-8962-4e5e-920b-52579c979676,839317,UN-08,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U8 Unit,2103134,01PTA-U8 Unit,_452a3304-a034-477b-bf0f-c0cc22253942,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_a68e7a47-dcf4-4b9f-a60c-dabed5a50dae,839319,UN-09,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine,Network/.Generation/01TTO AGUAS RESIDUALES/01PTA-U9 Unit,2103145,01PTA-U9 Unit,_726232f3-3694-4f4a-9597-22e3f78bc5e4,_0858bdb0-e4f8-43aa-b4b2-ead95997d3ab,ThermalGeneratingUnit
_05e1260d-ae7a-4409-82fd-b5b7da80634e,839659,UN-01,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,Network/.Generation/01PATLA/01PTL-U1 Unit,2102295,01PTL-U1 Unit,_56eef3a5-7e2d-47db-931b-b937eafb01c3,_a1a704ef-1e56-492e-8c39-9f78077fe647,HydroGeneratingUnit
_3871c6cf-7bd4-4e14-8dce-a662eae5ee8a,839661,UN-02,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,Network/.Generation/01PATLA/01PTL-U2 Unit,2102296,01PTL-U2 Unit,_14f354d8-bdef-4403-8c71-6acad7bcb4ca,_a1a704ef-1e56-492e-8c39-9f78077fe647,HydroGeneratingUnit
_e5a3544d-aabc-4af2-866e-3917886412af,839663,UN-03,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine,Network/.Generation/01PATLA/01PTL-U3 Unit,2102297,01PTL-U3 Unit,_2e959f65-f3ed-4140-8d41-32893ad93edc,_a1a704ef-1e56-492e-8c39-9f78077fe647,HydroGeneratingUnit
