"ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType","SynchronousMachine:
Path","SynchronousMachine:
InternalId","SynchronousMachine:
Name","ReactiveCapabilityCurve:
SynchronousMachineHasDefaultReactiveCapabilityCurve:
SynchronousMachine:
ID","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_47cb9627-97e6-4043-9de9-0b5beeabddf3,796215,01ECA-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   ECA/13.8/UN-01,795926,UN-01,_34137270-9fb6-4d76-b190-cd9de65fd8c4,_5d6e9908-c3e3-46af-af8e-cb2ed88d5d71,SynchronousMachine
_4264051e-d39c-45b7-8445-2cf2cad2d8fe,798180,01ELG-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   ELG/13.8/UN-01,798166,UN-01,_30d97bf3-ff39-438b-8b51-dfd0cbf06834,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine
_93717320-3206-4480-8c81-8e07498f8119,798186,01ELG-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   ELG/13.8/UN-02,798168,UN-02,_48d9c7f0-b7d3-413f-a6dd-4da6e376f5d7,_27fd0ba2-4759-4cf9-875f-1c339bc07674,SynchronousMachine
_ccb8d1fd-30a0-4cb3-8fce-3aa0d8079e34,800216,01GEV-PTA,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   GEV/13.8/UNPTA,799848,UNPTA,_23808aae-75b2-44ef-9e50-5ace1b9b1fb9,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_feabbe5b-1d2e-4225-81eb-9f29a434310b,800222,01GEV-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   GEV/13.8/UN-01,799850,UN-01,_9850c245-5c7f-44e2-bb66-0ef9fddd0395,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_b3a48d20-06c1-46f3-86ee-3a091d81e66a,800228,01GEV-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   GEV/13.8/UN-02,799852,UN-02,_365f4c50-4cca-4db4-87f2-d739aa0683d0,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_29633768-71a9-4fd0-8cc2-91f9b01fae49,800234,01GEV-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   GEV/13.8/UN-03,799854,UN-03,_ce4422c3-c7aa-4173-8b99-876c5a51ff3a,_5f9606f3-e3a8-4a19-b4c9-17df04bad563,SynchronousMachine
_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,802381,01INF-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   INF/13.8/UN-01,801763,UN-01,_47d384c1-5755-42b5-babc-622404d2b19c,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_718d032e-f8a3-4c4c-b461-5d650c7fdf50,802387,01INF-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   INF/13.8/UN-02,801765,UN-02,_da8931fa-4eda-4ce8-9983-41af95c9690f,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_3256f148-d67c-4177-81b6-ca74549590cc,802393,01INF-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   INF/13.8/UN-03,801767,UN-03,_5a3e58f8-a2cf-4c97-8581-666c5d9d39fe,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_c741619e-7b3e-4ed8-a621-00b97dc2f33f,802399,01INF-U4,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   INF/13.8/UN-04,801769,UN-04,_91af2988-73d3-4ec9-9723-ffad532c323a,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_8f4c91a4-bf4c-4f19-9358-1b3fb1ce4fd4,802405,01INF-U5,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   INF/13.8/UN-05,801771,UN-05,_a9cdc28f-9704-4e49-b9b5-fa4dbd34f360,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
_e8956573-74fd-4641-8655-4547fec28115,802411,01INF-U6,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/01CEL/01   INF/13.8/UN-06,801773,UN-06,_09a02ad3-18e3-496f-82fe-6fb315eff302,_a54304f5-490a-4609-bf10-cb76d834a757,SynchronousMachine
