"TransformerWinding:
ObjectType","TransformerWinding:
ID","TransformerWinding:
Path","TransformerWinding:
Name","TransformerWinding:
b_pu","TransformerWinding:
r_pu","TransformerWinding:
x_pu","TransformerWinding:
InternalId","TransformerWinding:
Parent"
TransformerWinding,_18a0a07f-9a1b-47d2-b81e-fb79ffdf995f,Network/Companies/SIN/01CEL/01   ANL/01ANL T01 85\23/Alta,Alta,0,0,0.5,757330,_82d55b0a-b9f2-4fcb-842c-303a699831d4
TransformerWinding,_8f1c0abe-6844-457c-86f3-a5b618f3f5ef,Network/Companies/SIN/01CEL/01   ANL/01ANL T01 85\23/Baja,Baja,0,,,757332,_82d55b0a-b9f2-4fcb-842c-303a699831d4
TransformerWinding,_bbd7e5e8-f092-474d-85bc-5292e51a2eb3,Network/Companies/SIN/01CEL/01   ANS/01ANS T01 85\23/Alta,Alta,0,0,0.48299999999999998,757567,_f71d0f2b-60a5-4684-ade1-120ddb36f437
TransformerWinding,_86d39792-7165-4ed6-8c20-de5e61b41c5b,Network/Companies/SIN/01CEL/01   ANS/01ANS T01 85\23/Baja,Baja,0,,,757569,_f71d0f2b-60a5-4684-ade1-120ddb36f437
TransformerWinding,_c0135f50-3e74-4924-a1da-58f6dc561ac3,Network/Companies/SIN/01CEL/01   ANS/01ANS T02 85\23/Alta,Alta,0,0,0.48666999999999999,757573,_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947
TransformerWinding,_609a75f7-9eef-4e6a-80a0-4282a1b99f5e,Network/Companies/SIN/01CEL/01   ANS/01ANS T02 85\23/Baja,Baja,0,,,757575,_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947
TransformerWinding,_3222fde4-abf6-4c30-b924-b81326041a81,Network/Companies/SIN/01CEL/01   ANS/01ANS T03 85\23/Alta,Alta,0,0,0.48666999999999999,757579,_334bd09d-1ce5-4862-9a58-35f9caeb7fc3
TransformerWinding,_a41ae4ec-5314-4e84-865c-8c9f3ce66693,Network/Companies/SIN/01CEL/01   ANS/01ANS T03 85\23/Baja,Baja,0,,,757581,_334bd09d-1ce5-4862-9a58-35f9caeb7fc3
TransformerWinding,_afbc313d-1e2f-4106-b25d-afedc6abc3bb,Network/Companies/SIN/01CEL/01   ANS/01ANS T04 85\23/Alta,Alta,0,0,0.47239999999999999,757585,_b65b68b2-01e6-4fd1-9090-cbebf0d578f3
TransformerWinding,_980c5e87-28ab-43ef-9be8-57e7b1892f9d,Network/Companies/SIN/01CEL/01   ANS/01ANS T04 85\23/Baja,Baja,0,,,757587,_b65b68b2-01e6-4fd1-9090-cbebf0d578f3
TransformerWinding,_49edf65e-5edd-4cad-b303-18894412a1ee,Network/Companies/SIN/01CEL/01   APA/01APA T01 230\85/Alta,Alta,0,0,0.17480000000000001,758339,_cf1de19d-2d9e-4dbe-91c5-092960864081
TransformerWinding,_034cba3e-cc8e-46b8-8db7-d2001b4b06d3,Network/Companies/SIN/01CEL/01   APA/01APA T01 230\85/Baja,Baja,0,,,758341,_cf1de19d-2d9e-4dbe-91c5-092960864081
TransformerWinding,_52d64fc6-bf3a-4dfd-98a0-8096dfa88a94,Network/Companies/SIN/01CEL/01   APA/01APA T02 230\85/Alta,Alta,0,0,0.17299999999999999,758345,_e43f77fe-c69a-4bfa-a47d-a3bc131f70c2
TransformerWinding,_3acde049-8495-434d-a71a-76b598110d8a,Network/Companies/SIN/01CEL/01   APA/01APA T02 230\85/Baja,Baja,0,,,758347,_e43f77fe-c69a-4bfa-a47d-a3bc131f70c2
TransformerWinding,_25211372-f901-4eca-9507-db384a161bfb,Network/Companies/SIN/01CEL/01   APA/01APA T03 230\85/Alta,Alta,0,0,0.18089,758351,_f2c8b716-d682-492d-bd0c-2e38e530b693
TransformerWinding,_ff23206b-3a2b-4403-8ac0-d2aadaf62ad9,Network/Companies/SIN/01CEL/01   APA/01APA T03 230\85/Baja,Baja,0,,,758353,_f2c8b716-d682-492d-bd0c-2e38e530b693
TransformerWinding,_9298f0b5-bd32-4c8a-9aeb-165497c580d0,Network/Companies/SIN/01CEL/01   APA/01APA T04 230\85/Alta,Alta,0,0,0.1653,758357,_7c43ba4c-b458-4029-b511-9391cf1669f1
TransformerWinding,_24333db6-3384-416a-b9e7-eb4d186d5273,Network/Companies/SIN/01CEL/01   APA/01APA T04 230\85/Baja,Baja,0,,,758359,_7c43ba4c-b458-4029-b511-9391cf1669f1
TransformerWinding,_b82166fc-dec1-4cc2-ba1d-788da96cce6e,Network/Companies/SIN/01CEL/01   ARA/01ARA T01 85\23/Alta,Alta,0,0,0.46566999999999997,758832,_8f857ec4-2c29-44ab-8d21-3d22f8d00e8a
TransformerWinding,_589f082f-d9a4-457c-9459-4864828abf98,Network/Companies/SIN/01CEL/01   ARA/01ARA T01 85\23/Baja,Baja,0,,,758834,_8f857ec4-2c29-44ab-8d21-3d22f8d00e8a
TransformerWinding,_4bc792f2-f48f-402d-9f8e-7c9f79f3c57b,Network/Companies/SIN/01CEL/01   ARA/01ARA T02 85\23/Alta,Alta,0,0,0.46566999999999997,758838,_ce3b159e-a7ac-48f8-94f6-ba3c37539844
TransformerWinding,_35d1ff4f-0fc1-4165-ad70-85c922d67a78,Network/Companies/SIN/01CEL/01   ARA/01ARA T02 85\23/Baja,Baja,0,,,758840,_ce3b159e-a7ac-48f8-94f6-ba3c37539844
TransformerWinding,_8260c38f-40ef-4e20-949c-f43939b84fc7,Network/Companies/SIN/01CEL/01   ARA/01ARA T03 85\23/Alta,Alta,0,0,0.43780000000000002,758844,_e97bf7a7-97cc-42a2-bd21-3d784ef9ffec
TransformerWinding,_cc6cf28b-d7a5-4eba-869f-7827f2555473,Network/Companies/SIN/01CEL/01   ARA/01ARA T03 85\23/Baja,Baja,0,,,758846,_e97bf7a7-97cc-42a2-bd21-3d784ef9ffec
TransformerWinding,_a63e02d7-560d-4d52-8557-27a10a548bc3,Network/Companies/SIN/01CEL/01   ARA/01ARA T04 85\23/Alta,Alta,0,0,0.43780000000000002,758850,_d6503e8f-5804-43e0-8bca-5d147f2073ba
TransformerWinding,_2422e549-19b0-44fe-8e5a-1bf44cac144a,Network/Companies/SIN/01CEL/01   ARA/01ARA T04 85\23/Baja,Baja,0,,,758852,_d6503e8f-5804-43e0-8bca-5d147f2073ba
TransformerWinding,_f12aa860-004c-40b8-adf6-ccfc6b68f5a2,Network/Companies/SIN/01CEL/01   ARA/01ARA T10 23\13.8/Alta,Alta,0,0,0.13397999999999999,758856,_da871de3-0169-416c-8d89-f9ab5edf089d
TransformerWinding,_d52e3278-8bf9-4aec-bf54-4eaa92a2d631,Network/Companies/SIN/01CEL/01   ARA/01ARA T10 23\13.8/Baja,Baja,0,,,758858,_da871de3-0169-416c-8d89-f9ab5edf089d
TransformerWinding,_727d380d-56db-4566-91af-c5d68c40f766,Network/Companies/SIN/01CEL/01   ASK/01ASK T01 230\23/Alta,Alta,0,0,0.32629999999999998,760841,_cc5bef74-9036-4a2c-a8f9-fcc93bf98463
TransformerWinding,_b69c37bb-2d47-4121-9bc6-78c2548e2201,Network/Companies/SIN/01CEL/01   ASK/01ASK T01 230\23/Baja,Baja,0,,,760843,_cc5bef74-9036-4a2c-a8f9-fcc93bf98463
TransformerWinding,_755de534-99bf-4eba-9d8b-b3dd3f5256c7,Network/Companies/SIN/01CEL/01   ASK/01ASK T02 230\23/Alta,Alta,0,0,0.32629999999999998,760847,_aa72df80-aba5-44e3-9082-5650ecda70d6
TransformerWinding,_2dfe03f0-a4b6-42da-9203-8685e7a14407,Network/Companies/SIN/01CEL/01   ASK/01ASK T02 230\23/Baja,Baja,0,,,760849,_aa72df80-aba5-44e3-9082-5650ecda70d6
TransformerWinding,_e66b7d78-31d8-42bc-9bb4-5eaa8b77924a,Network/Companies/SIN/01CEL/01   ATE/01ATE T01 230\85/Alta,Alta,0,0,0.16816999999999999,761565,_a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c
TransformerWinding,_a9c45362-5051-44ae-972d-e082dec2c419,Network/Companies/SIN/01CEL/01   ATE/01ATE T01 230\85/Baja,Baja,0,,,761567,_a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c
TransformerWinding,_bdff83ef-f6b5-4113-9501-1681d87f3125,Network/Companies/SIN/01CEL/01   ATE/01ATE T02 230\85/Alta,Alta,0,0,0.16816999999999999,761571,_6e2dbc67-9306-4450-a038-cf136fc7e0e1
TransformerWinding,_5434eda4-3214-435b-bbc4-1952434279ae,Network/Companies/SIN/01CEL/01   ATE/01ATE T02 230\85/Baja,Baja,0,,,761573,_6e2dbc67-9306-4450-a038-cf136fc7e0e1
TransformerWinding,_d82c2372-dfad-4dc8-96b4-35fc060be442,Network/Companies/SIN/01CEL/01   ATE/01ATE T03 230\85/Alta,Alta,0,0,0.16700000000000001,761577,_e31ff7b9-e14c-4ce1-922f-36bbbde1769c
TransformerWinding,_f9a65cbd-6c71-493b-8b3b-0423c931cf47,Network/Companies/SIN/01CEL/01   ATE/01ATE T03 230\85/Baja,Baja,0,,,761579,_e31ff7b9-e14c-4ce1-922f-36bbbde1769c
TransformerWinding,_443d7174-2fef-4dbb-bbc1-a7b1ab03a759,Network/Companies/SIN/01CEL/01   ATE/01ATE T04 230\23/Alta,Alta,0,0,0.13397999999999999,761583,_29901735-9392-458c-ae0f-7de5b9d94d06
