TableName,ID,AGCFlag,InternalId,Name,Parent,ObjectType
HydroGeneratingUnit,_78f3ee82-147f-430d-a6f5-f7c1ea2f925e,true,2101937,01AMD-U1 Unit,_98e3ebff-a6d5-49a8-9db9-0dbc393d77f8,HydroGeneratingUnit
HydroGeneratingUnit,_e8eff924-52ea-4f8d-b13a-c5086eea9dea,true,2101938,01AMD-U2 Unit,_98e3ebff-a6d5-49a8-9db9-0dbc393d77f8,HydroGeneratingUnit
HydroGeneratingUnit,_7bdd8cdc-f7b9-440c-9952-f90149b1ae31,true,2101939,01AMD-U3 Unit,_98e3ebff-a6d5-49a8-9db9-0dbc393d77f8,HydroGeneratingUnit
HydroGeneratingUnit,_ec10d379-9496-4009-a434-8a6d8f165de4,true,2101943,01BBR-U1 Unit,_a07c684c-af15-450c-9afa-27665291f95b,HydroGeneratingUnit
HydroGeneratingUnit,_20f8bef3-5c5b-4d2a-b19a-3a1688db48aa,true,2101944,01BBR-U3 Unit,_a07c684c-af15-450c-9afa-27665291f95b,HydroGeneratingUnit
HydroGeneratingUnit,_29be8d60-07f8-483f-a968-bc8b3b78f550,true,2101948,01ELG-U1 Unit,_4755aa85-df7d-483e-9890-45c229da2833,HydroGeneratingUnit
HydroGeneratingUnit,_b8b795b9-1d28-44ae-a65a-95f7645b895d,true,2101949,01ELG-U2 Unit,_4755aa85-df7d-483e-9890-45c229da2833,HydroGeneratingUnit
HydroGeneratingUnit,_1b9aefa7-c650-4414-a887-411b35711fc8,true,2101957,01INF-U1 Unit,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
HydroGeneratingUnit,_2363d2d5-5db9-40e1-b492-7d0f58ea2c98,true,2102008,01INF-U2 Unit,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
HydroGeneratingUnit,_793e34e4-ea3e-4b3a-a2d2-043a639e9a32,true,2102059,01INF-U3 Unit,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
HydroGeneratingUnit,_77aeba98-064a-45d7-bdd7-00061c5e2af3,true,2102110,01INF-U4 Unit,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
HydroGeneratingUnit,_18532008-977c-4147-a0c2-33da5697a82b,true,2102161,01INF-U5 Unit,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
HydroGeneratingUnit,_90c8745b-9af5-48f8-91da-791618b4b9c2,true,2102212,01INF-U6 Unit,_6b1960c1-c766-48ee-91bd-3e27ba9617df,HydroGeneratingUnit
HydroGeneratingUnit,_fd88adb1-0898-4a07-8ed6-1765c504b1e3,true,2102267,01LER-U1 Unit,_5f2fc8c7-3e7d-42af-82b9-a9df03a28da5,HydroGeneratingUnit
HydroGeneratingUnit,_9feb31b4-a6b3-4541-a548-efd4541c1971,true,2102268,01LER-U2 Unit,_5f2fc8c7-3e7d-42af-82b9-a9df03a28da5,HydroGeneratingUnit
HydroGeneratingUnit,_0383d4a7-9a8e-44bb-82d3-4a4117774cee,true,2102269,01LER-U3 Unit,_5f2fc8c7-3e7d-42af-82b9-a9df03a28da5,HydroGeneratingUnit
HydroGeneratingUnit,_4cf30b9f-658e-42fb-b4a2-24d253a368e6,true,2102281,01NEC-U1 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_029a2395-011e-4ee9-b40b-a5b4f1303e24,true,2102282,01NEC-U10 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_19b13f73-fac3-4f47-98c0-61caa0abaf39,true,2102283,01NEC-U2 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_78573093-8844-4e7b-afea-44914edc3c70,true,2102284,01NEC-U3 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_4e614c03-ee0a-4a08-91e4-a022022cd0b6,true,2102285,01NEC-U4 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_0e250bd2-dce6-4774-ba10-77eb623dcb15,true,2102286,01NEC-U5 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_b6c834be-d120-4c0c-be50-522537610ee8,true,2102287,01NEC-U6 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_0fe7ae13-76d7-4639-a5e2-7814a6826415,true,2102288,01NEC-U7 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_b0c3767a-624f-45b2-a303-3cf9dc25441d,true,2102289,01NEC-U8 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_7e6c04e6-80f9-454c-a5bf-92df4f8d11fd,true,2102290,01NEC-U9 Unit,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
HydroGeneratingUnit,_56eef3a5-7e2d-47db-931b-b937eafb01c3,true,2102295,01PTL-U1 Unit,_a1a704ef-1e56-492e-8c39-9f78077fe647,HydroGeneratingUnit
HydroGeneratingUnit,_14f354d8-bdef-4403-8c71-6acad7bcb4ca,true,2102296,01PTL-U2 Unit,_a1a704ef-1e56-492e-8c39-9f78077fe647,HydroGeneratingUnit
HydroGeneratingUnit,_2e959f65-f3ed-4140-8d41-32893ad93edc,true,2102297,01PTL-U3 Unit,_a1a704ef-1e56-492e-8c39-9f78077fe647,HydroGeneratingUnit
HydroGeneratingUnit,_7a0fafbf-6504-44d3-90aa-78566f264650,true,2102302,01TEP-U1 Unit,_ded91fef-14a0-4fda-96da-c45661c242be,HydroGeneratingUnit
HydroGeneratingUnit,_45cd13b7-de90-47d5-896e-24fdf5db172f,true,2102303,01TEP-U2 Unit,_ded91fef-14a0-4fda-96da-c45661c242be,HydroGeneratingUnit
HydroGeneratingUnit,_925c6314-e0dd-41f2-ac22-63198c1908c7,true,2102304,01TEP-U3 Unit,_ded91fef-14a0-4fda-96da-c45661c242be,HydroGeneratingUnit
HydroGeneratingUnit,_5ea3510c-1adc-4021-beec-a8cb29061cc0,true,2102307,01TIN-U3 Unit,_8cf1a66f-52bb-4c19-acb3-21ecd5a228fb,HydroGeneratingUnit
HydroGeneratingUnit,_1a0a4360-4816-42a1-8fcc-317b9147fc1b,true,2102313,01VIL-U1 Unit,_44ddea58-dcc3-4c78-ac9a-be71478b1dcb,HydroGeneratingUnit
HydroGeneratingUnit,_29498c78-823a-4de7-b5da-89c0517422a9,true,2102364,01VIL-U2 Unit,_44ddea58-dcc3-4c78-ac9a-be71478b1dcb,HydroGeneratingUnit
HydroGeneratingUnit,_e2ba7f1c-3485-4f9f-ba24-7210111abaf3,true,2102415,01VIL-U3 Unit,_44ddea58-dcc3-4c78-ac9a-be71478b1dcb,HydroGeneratingUnit
HydroGeneratingUnit,_159410be-be8c-41ac-a21a-35659648a866,true,2102466,01VIL-U4 Unit,_44ddea58-dcc3-4c78-ac9a-be71478b1dcb,HydroGeneratingUnit
HydroGeneratingUnit,_ba82bc7e-7685-4ece-bded-274c0f9863a0,true,2364563,06AMI-U1 Unit,_44333a3e-c9dd-4c95-8747-2668a4c1ef21,HydroGeneratingUnit
HydroGeneratingUnit,_b9fafa0e-c65f-4a5c-9916-897b6d4da360,true,2364564,06AMI-U2 Unit,_44333a3e-c9dd-4c95-8747-2668a4c1ef21,HydroGeneratingUnit
HydroGeneratingUnit,_11f3280e-0406-4262-81a6-f8e1f5d3896f,true,2364569,06FAM-U1 Unit,_238ffecc-6251-4ae5-a9da-3de879ac59ca,HydroGeneratingUnit
HydroGeneratingUnit,_596b1d2d-7be9-42ff-9d35-a69948f899ad,true,2364570,06FAM-U2 Unit,_238ffecc-6251-4ae5-a9da-3de879ac59ca,HydroGeneratingUnit
HydroGeneratingUnit,_fa1f313a-aadb-4bcd-83c2-baa8eb81e237,true,2364571,06FAM-U3 Unit,_238ffecc-6251-4ae5-a9da-3de879ac59ca,HydroGeneratingUnit
HydroGeneratingUnit,_d31e27a4-05cc-4e44-97ec-692b6e353e2a,true,2364575,06STO-U1 Unit,_b6e8a582-3df8-4f66-b066-a2564bb0b982,HydroGeneratingUnit
HydroGeneratingUnit,_2867cf4c-42cb-4dce-af76-3f1b93e405dc,true,2364576,06STO-U2 Unit,_b6e8a582-3df8-4f66-b066-a2564bb0b982,HydroGeneratingUnit
HydroGeneratingUnit,_233ad58a-a5c8-48b1-934c-3a9aea422aef,true,2392514,02ANG-U1 Unit,_3cc4fa5f-db6d-4139-968e-50abf56d382b,HydroGeneratingUnit
HydroGeneratingUnit,_5b5aaf80-84be-4c0d-952b-e90b84597703,true,2392565,02ANG-U2 Unit,_3cc4fa5f-db6d-4139-968e-50abf56d382b,HydroGeneratingUnit
HydroGeneratingUnit,_d1dd03a4-6ae6-4283-b623-5d026dc7926f,true,2392616,02ANG-U3 Unit,_3cc4fa5f-db6d-4139-968e-50abf56d382b,HydroGeneratingUnit
HydroGeneratingUnit,_d7be7e21-a1db-411b-9c75-9a72471d8815,true,2392667,02ANG-U4 Unit,_3cc4fa5f-db6d-4139-968e-50abf56d382b,HydroGeneratingUnit
HydroGeneratingUnit,_761d3fe5-6103-442e-9ef7-7814bbbc132b,true,2392718,02ANG-U5 Unit,_3cc4fa5f-db6d-4139-968e-50abf56d382b,HydroGeneratingUnit
HydroGeneratingUnit,_2ab53f23-8eb8-47e3-b2b8-73ade58df35d,true,2392772,02AXO-U1 Unit,_af6ddc57-27db-4289-b37e-370d0166ca3d,HydroGeneratingUnit
HydroGeneratingUnit,_f11f3cbf-4aee-4fa5-ab43-0a4007b7945d,true,2392773,02AXO-U2 Unit,_af6ddc57-27db-4289-b37e-370d0166ca3d,HydroGeneratingUnit
HydroGeneratingUnit,_a0ae6aaa-1966-4fc2-9595-d4b28e1c8d9d,true,2392778,02CCL-U2 Unit,_64b4dc79-f02d-4676-ab7c-1ffef4a48d9b,HydroGeneratingUnit
HydroGeneratingUnit,_de1e85c0-b0a5-4ff5-be1a-65a02f89de24,true,2392779,02CCL-U3 Unit,_64b4dc79-f02d-4676-ab7c-1ffef4a48d9b,HydroGeneratingUnit
HydroGeneratingUnit,_59cbe39a-d42b-40a1-b9bf-4532431b4e49,true,2392780,02CCL-U4 Unit,_64b4dc79-f02d-4676-ab7c-1ffef4a48d9b,HydroGeneratingUnit
HydroGeneratingUnit,_2617272f-d90b-4af3-bcb7-bd274e5dfca1,true,2392786,02CHP-U1 Unit,_783ddebd-7a32-4c50-8999-dad8aeb7da6a,HydroGeneratingUnit
HydroGeneratingUnit,_9a3a373e-4696-4b51-885d-9885412f0119,true,2392787,02CHP-U2 Unit,_783ddebd-7a32-4c50-8999-dad8aeb7da6a,HydroGeneratingUnit
HydroGeneratingUnit,_e191712f-13e8-4c45-9ad3-7dcc5bc24335,true,2392788,02CHP-U3 Unit,_783ddebd-7a32-4c50-8999-dad8aeb7da6a,HydroGeneratingUnit
HydroGeneratingUnit,_7d12485e-b44c-43b3-8f1b-c95cc1fd0b18,true,2392789,02CHP-U4 Unit,_783ddebd-7a32-4c50-8999-dad8aeb7da6a,HydroGeneratingUnit
HydroGeneratingUnit,_4398c500-134a-4d54-89e3-8f5c0cd49bbc,true,2392795,02CLT-U1 Unit,_26dc3fc3-51d8-4710-8f7b-99ba8283fef5,HydroGeneratingUnit
HydroGeneratingUnit,_7b1ae9e6-6251-4dac-90fb-9606117864b2,true,2392796,02CLT-U2 Unit,_26dc3fc3-51d8-4710-8f7b-99ba8283fef5,HydroGeneratingUnit
HydroGeneratingUnit,_f0d68c63-b6f6-4ab7-96c3-a08362015d75,true,2392797,02CLT-U3 Unit,_26dc3fc3-51d8-4710-8f7b-99ba8283fef5,HydroGeneratingUnit
HydroGeneratingUnit,_f73244b9-93a4-415a-8445-3a542a91fb82,true,2392798,02CLT-U4 Unit,_26dc3fc3-51d8-4710-8f7b-99ba8283fef5,HydroGeneratingUnit
