"SynchronousMachine:
ID","SynchronousMachine:
Path","SynchronousMachine:
Description","SynchronousMachine:
ShortID","SynchronousMachine:
Name","SynchronousMachine:
nodePkey","SynchronousMachine:
InternalId","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_07e27155-0a35-49f6-9bf9-6cffba6d2a02,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-03,01JOL-U3,3,UN-03,NA,810222,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine
_e6c2ab9f-2f59-4cee-a9e1-7c2747b8106c,Network/Companies/SIN/01CEL/01   JOL/11.5/UN-04,01JOL-U4,4,UN-04,NA,810224,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine
_00e92b95-64f4-4152-97f4-e51e832ef042,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-01,01LEC-U1,1,UN-01,NA,815531,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine
_845a7f51-793c-45c4-b25e-528f617b21e0,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-02,01LEC-U2,2,UN-02,NA,815533,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine
_993d2a66-d225-4834-a21b-57a4f27f976a,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-03,01LEC-U3,3,UN-03,NA,815535,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine
_3dec41d4-b290-4461-89d8-d857850d0568,Network/Companies/SIN/01CEL/01   LEC/11.5/UN-04,01LEC-U4,4,UN-04,NA,815537,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine
_9bcdeb79-950a-480c-8870-d8260528d778,Network/Companies/SIN/01CEL/01   MAG/13.8/UN-01,01MAG-U1,1,UN-01,01MAG-85,819217,_e5eb5309-0aca-449b-949e-b4e32b69690d,SynchronousMachine
_37dbd381-1979-437d-b380-1b12d32239b3,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-01,01NEC-U1,1,UN-01,01NEC-85,825438,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_1bd07f7d-5ecd-4cd7-850b-2c425a0e1a87,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-10,01NEC-U10,10,UN-10,01NEC-85,825440,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_daf584b6-9ae1-4dbc-83a2-53cef1d47762,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-02,01NEC-U2,2,UN-02,01NEC-85,825442,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_e03acaea-962a-4d8a-b987-4e9f370fa57b,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-03,01NEC-U3,3,UN-03,01NEC-85,825444,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_4ff7a647-3388-46fc-97cc-91833a0ea32b,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-04,01NEC-U4,4,UN-04,01NEC-85,825446,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_f0145dc1-f823-4a13-b217-8c0214b8b97f,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-05,01NEC-U5,5,UN-05,01NEC-85,825448,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_3e0f5869-19c1-4a07-b556-7d7c53682a2c,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-06,01NEC-U6,6,UN-06,01NEC-85,825450,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_728d9562-c5a8-4769-ab33-14507d8dfbb5,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-07,01NEC-U7,7,UN-07,01NEC-85,825452,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_1a330a8f-bbb1-4204-a334-fcc01f151b1d,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-08,01NEC-U8,8,UN-08,01NEC-85,825454,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_1fc48cec-8409-4c8c-a299-92febefc6f4a,Network/Companies/SIN/01CEL/01   NEC/4.4/UN-09,01NEC-U9,9,UN-09,01NEC-85,825456,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine
_f6cbd249-0a85-4be0-ba72-2ff481d14854,Network/Companies/SIN/01CEL/01   NON/13.8/UN-01,01NON-U1,1,UN-01,01NON-85,827439,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine
_cfa30060-71f6-4c5c-bf0e-df11b422d757,Network/Companies/SIN/01CEL/01   NON/13.8/UN-02,01NON-U2,2,UN-02,01NON-85,827441,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine
_cdfcfe73-aaa1-4546-ab69-8f66040a32ea,Network/Companies/SIN/01CEL/01   NON/13.8/UN-03,01NON-U3,3,UN-03,NA,827443,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine
_469ad090-e372-4d7f-ac9d-19e3623aa614,Network/Companies/SIN/01CEL/01   NON/13.8/UN-04,01NON-U4,4,UN-04,NA,827445,_cb3cfae3-f832-4985-b522-2e270b658f84,SynchronousMachine
_81d82f90-f320-42a3-9f0f-76fdb00d3346,Network/Companies/SIN/01CEL/01   PEO/20/UN-01,01PEO-U1,1,UN-01,01LCP-230,832999,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine
_e39cad08-4106-4308-81e7-6764b215adaa,Network/Companies/SIN/01CEL/01   PEO/20/UN-02,01PEO-U2,2,UN-02,01LCP-230,833001,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine
_be488c3c-c433-4f20-96f6-7d46dc5ae820,Network/Companies/SIN/01CEL/01   PEO/20/UN-03,01PEO-U3,3,UN-03,01LCP-400,833003,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine
_11d9ea24-d9b0-44d4-8c25-05293c35596c,Network/Companies/SIN/01CEL/01   PEO/20/UN-04,01PEO-U4,4,UN-04,01LCP-400,833005,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine
_3d9d92aa-7213-4d43-8553-129a68fd4fd4,Network/Companies/SIN/01CEL/01   PEO/20/UN-05,01PEO-U5,5,UN-05,01LCP-400,833007,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine
_c0c10e65-f33d-45ab-810f-8be58f859cff,Network/Companies/SIN/01CEL/01   PEO/20/UN-06,01PEO-U6,6,UN-06,01LCP-400,833009,_82a5073d-1b91-44bf-b717-e9a728b41126,SynchronousMachine
_0d7bfe21-cbea-4b97-8715-7e38269f4c95,Network/Companies/SIN/01CEL/01   PEO/23/UN-07,01PEO-U7,7,UN-07,01LCP-400,833032,_188c6f8d-1ff1-4004-98d8-35549b49ec7d,SynchronousMachine
_52c5d99e-5b1a-4b1c-8351-d7098896ddf0,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-01,01PTA-U1,1,UN-01,NA,839297,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_6f31f90f-1a97-4ebf-b697-cdd41bec1a67,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-10,01PTA-U10,10,UN-10,NA,839299,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_f2c3fc34-d437-4fe2-9e6a-68a3a71c88fd,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-11,01PTA-U11,11,UN-11,NA,839301,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_33b4fe5f-2430-4fd7-aeb7-c98254d63168,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-12,01PTA-U12,12,UN-12,NA,839303,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_9fcb1324-27d0-40dc-8563-05dba958652c,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-02,01PTA-U2,2,UN-02,NA,839305,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_064f34fd-e38d-4603-8e5b-152b652fd4e7,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-03,01PTA-U3,3,UN-03,NA,839307,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_084a7720-65d6-433f-9a5a-54bd298fca5b,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-04,01PTA-U4,4,UN-04,NA,839309,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_a7450c93-d45d-4ffb-8379-a3311ef3aca8,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-05,01PTA-U5,5,UN-05,NA,839311,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_be743ba2-7f58-4cda-b4b3-d98b56c36f5f,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-06,01PTA-U6,6,UN-06,NA,839313,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_a2a3f2ef-33d5-48ae-931f-d4040818dd72,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-07,01PTA-U7,7,UN-07,NA,839315,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_443e3207-8962-4e5e-920b-52579c979676,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-08,01PTA-U8,8,UN-08,NA,839317,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_a68e7a47-dcf4-4b9f-a60c-dabed5a50dae,Network/Companies/SIN/01CEL/01   PTA/13.8/UN-09,01PTA-U9,9,UN-09,NA,839319,_c4d94ee5-f193-4ea3-bef8-a6add16cb40f,SynchronousMachine
_05e1260d-ae7a-4409-82fd-b5b7da80634e,Network/Companies/SIN/01CEL/01   PTL/10.5/UN-01,01PTL-U1,1,UN-01,01PTL-85,839659,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine
_3871c6cf-7bd4-4e14-8dce-a662eae5ee8a,Network/Companies/SIN/01CEL/01   PTL/10.5/UN-02,01PTL-U2,2,UN-02,01PTL-85,839661,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine
_e5a3544d-aabc-4af2-866e-3917886412af,Network/Companies/SIN/01CEL/01   PTL/10.5/UN-03,01PTL-U3,3,UN-03,01PTL-85,839663,_5cb3ac64-d4ce-44a7-85ce-01402f5800fa,SynchronousMachine
_c72b17e3-505e-4fb4-8e2e-a61261598419,Network/Companies/SIN/01CEL/01   REM/13.8/UN-01,01REM-U1,1,UN-01,01REM-230,853144,_fb5f389c-9b06-4aab-bae1-0bbe7b4a9f0d,SynchronousMachine
_93bd01c0-aefc-4153-a02b-03a3bf4ed0cc,Network/Companies/SIN/01CEL/01   TCC/13.8/UNPQ1,01TCC-PQ1,99,UNPQ1,,861871,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine
_aa735e82-96f7-4df8-ad28-9e7334357327,Network/Companies/SIN/01CEL/01   TCC/13.8/UNPQ2,01TCC-PQ2,99,UNPQ2,,861873,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine
_8c132ccb-a099-48eb-9f9f-bace2659a30f,Network/Companies/SIN/01CEL/01   TCC/13.8/UN-03,01TCC-U3,3,UN-03,01TCC-230,861875,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine
_6176bb9f-e269-4cda-94dd-500b0ae548a7,Network/Companies/SIN/01CEL/01   TCC/13.8/UN-06,01TCC-U6,6,UN-06,01TCC-230,861877,_40f77f6e-133b-4fd6-be94-6d8be5ca01d4,SynchronousMachine
_95075823-0156-449e-90b2-d3e297d136e8,Network/Companies/SIN/01CEL/01   TCC/18/UN-07,01TCC-U7,7,UN-07,01TCC-230,861928,_8206267f-7655-4ed0-a726-61658f190794,SynchronousMachine
_bcc8920c-b736-47c4-b376-8debc31ebf1a,Network/Companies/SIN/01CEL/01   TCC/18/UN-08,01TCC-U8,8,UN-08,01TCC-230,861930,_8206267f-7655-4ed0-a726-61658f190794,SynchronousMachine
_61d06162-0d85-46dc-b9e0-ef12ddb8cef9,Network/Companies/SIN/01CEL/01   TEP/6.6/UN-01,01TEP-U1,1,UN-01,01TEP-85,863655,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine
_d7e5222a-2d1d-46bb-af11-cdf4b3d8a77f,Network/Companies/SIN/01CEL/01   TEP/6.6/UN-02,01TEP-U2,2,UN-02,01TEP-85,863657,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine
_d107bb65-dff9-4307-a15d-ba155a7cfffd,Network/Companies/SIN/01CEL/01   TEP/6.6/UN-03,01TEP-U3,3,UN-03,01TEP-85,863659,_2e23334b-b1c8-4aad-a898-b00b5093ea37,SynchronousMachine
_716c5273-5ea0-4d93-b4f4-a9ec977784f9,Network/Companies/SIN/01CEL/01   TUL/20/UN-01,01TUL-U1,1,UN-01,01TUL-230,870134,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine
_664f0aca-8d2c-449c-b816-16bc8e833c22,Network/Companies/SIN/01CEL/01   TUL/20/UN-02,01TUL-U2,2,UN-02,01TUL-230,870136,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine
_3229fcae-9a34-4b56-bc62-c5c78c379525,Network/Companies/SIN/01CEL/01   TUL/20/UN-03,01TUL-U3,3,UN-03,01TUL-400,870138,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine
_4aea32b3-1c5a-4515-9b2e-9c3a3aa74672,Network/Companies/SIN/01CEL/01   TUL/20/UN-04,01TUL-U4,4,UN-04,01TUL-400,870140,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine
_a868e085-d75b-413f-9e8d-ec4a8e0b26f4,Network/Companies/SIN/01CEL/01   TUL/20/UN-05,01TUL-U5,5,UN-05,01TUL-400,870142,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine
_4ec5ddc1-bcf6-4a5e-9bb2-490cb2049409,Network/Companies/SIN/01CEL/01   VAE/13.8/UN-05,01VAE-U5,5,UN-05,01VAE-230,872426,_1e52b565-b7af-44d1-a71b-6d82f4ee4478,SynchronousMachine
_3cc31627-500c-45e5-ac4b-a9c9bc5c1cd0,Network/Companies/SIN/01CEL/01   VAE/13.8/UN-06,01VAE-U6,6,UN-06,01VAE-230,872428,_1e52b565-b7af-44d1-a71b-6d82f4ee4478,SynchronousMachine
_c603ba47-8f1a-4bbe-95a9-e187f27b403f,Network/Companies/SIN/01CEL/01   VAE/13.8/UN-07,01VAE-U7,7,UN-07,01VAE-230,872430,_1e52b565-b7af-44d1-a71b-6d82f4ee4478,SynchronousMachine
_da93637d-a6b9-4e3f-9f40-0f53d7d1b906,Network/Companies/SIN/01CEL/01   VAE/15/UN-03,01VAE-U3,3,UN-03,NA,872473,_cdc419ec-c126-4b1d-a6a4-bfeb25d81c11,SynchronousMachine
_d3c9d453-4332-4ed8-ab14-b48cd2e0ba56,Network/Companies/SIN/01CEL/01   VAE/18/UNPQ2,01VAE-PQ2,98,UNPQ2,,872527,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine
_06be53f1-fcef-451d-a290-3248ce7e9582,Network/Companies/SIN/01CEL/01   VAE/18/UN-10,01VAE-U10,10,UN-10,01VAE-230,872529,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine
_1420715f-b0d8-4bf6-bf42-580574d79996,Network/Companies/SIN/01CEL/01   VAE/18/UN-08,01VAE-U8,8,UN-08,01VAE-230,872531,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine
_8fc9732a-3370-4909-b23d-d4088a9dda27,Network/Companies/SIN/01CEL/01   VAE/18/UN-09,01VAE-U9,9,UN-09,01VAE-230,872533,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine
_7784048d-37bf-4fcb-94d5-c280a69b058d,Network/Companies/SIN/01CEL/01   VAE/20/UNPQ1,01VAE-PQ1,99,UNPQ1,,872551,_9b3fea62-7993-4704-b1f0-be86a2238e29,SynchronousMachine
_f759e019-2d29-4ef9-be18-cd9c82fa47a9,Network/Companies/SIN/01CEL/01   VAE/20/UN-04,01VAE-U4,4,UN-04,01VAE-230,872553,_9b3fea62-7993-4704-b1f0-be86a2238e29,SynchronousMachine
_ed8d69fc-2fcf-4453-9910-c2c8beef0755,Network/Companies/SIN/01CEL/01   VAJ/13.8/UN-01,01VAJ-U1,1,UN-01,01VAJ-230,874624,_cc2ffa82-a61c-4784-a85b-050ab9536aa9,SynchronousMachine
_52f088af-af67-4e10-ab1f-95f2da7d5856,Network/Companies/SIN/01CEL/01   VDF/13.8/UN-01,01VDF-U1,1,UN-01,01VDF-85,876907,_2d43e0db-06aa-4678-b194-6e6618645368,SynchronousMachine
_5d76e8c3-bfca-47fe-b39b-0b7226b8962d,Network/Companies/SIN/01CEL/01   VDM/13.8/UN-08,01VDM-U8,8,UN-08,01VDM-85,878005,_5e73206a-46ff-4fb9-b294-7d6295d95855,SynchronousMachine
_f71d4682-289f-4451-bdd0-a7b21e7ef1a2,Network/Companies/SIN/01CEL/01   VIC/13.8/UN-01,01VIC-U1,1,UN-01,01VIC-230,880040,_331fe480-a4dc-44fb-9cf4-23a2b876b827,SynchronousMachine
_456cae06-e359-4fc1-88a7-d6154e5eedf4,Network/Companies/SIN/01CEL/01   VIL/13.8/UN-01,01VIL-U1,1,UN-01,01VIL-230,883181,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine
_dcd4e2d1-415b-41a8-b461-6c2b3cccd5c2,Network/Companies/SIN/01CEL/01   VIL/13.8/UN-02,01VIL-U2,2,UN-02,01VIL-230,883183,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine
_dad6da1d-3e54-42ed-9922-2a81205e5095,Network/Companies/SIN/01CEL/01   VIL/13.8/UN-03,01VIL-U3,3,UN-03,01VIL-230,883185,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine
_f32808ce-3783-4c22-bd81-ed0a0e0192fd,Network/Companies/SIN/01CEL/01   VIL/13.8/UN-04,01VIL-U4,4,UN-04,01VIL-230,883187,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine
_4650dd98-8962-49f2-8798-ff3afb9e89e4,Network/Companies/SIN/01CEL/01   VMD/18/UNPQ1,01VMD-PQ1,99,UNPQ1,,884993,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine
_38959b2b-24b5-4b77-a39e-566daf388dc9,Network/Companies/SIN/01CEL/01   VMD/18/UN-01,01VMD-U1,1,UN-01,01VMA-400,884995,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine
_2e388379-1ab0-40d6-bf3c-e1ae4fbc482a,Network/Companies/SIN/01CEL/01   VMD/18/UN-02,01VMD-U2,2,UN-02,01VMA-400,884997,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine
_efd59844-a75e-430d-a4d4-4d70c72aa631,Network/Companies/SIN/01CEL/01   VMD/18/UN-03,01VMD-U3,3,UN-03,01VMA-400,884999,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine
_95c10047-c1db-45ee-a7dc-0a96159d7334,Network/Companies/SIN/01CEL/01TLCBBR/13.8/UN-01,01BBR-U1,1,UN-01,NA,892837,_79f6b7c4-5631-4a01-8c16-f2339ebcd28c,SynchronousMachine
_8e7697ec-2aaf-4333-a43e-fc2b438e7d6f,Network/Companies/SIN/01CEL/01TLCBBR/13.8/UN-03,01BBR-U3,3,UN-03,01BBR-115,892839,_79f6b7c4-5631-4a01-8c16-f2339ebcd28c,SynchronousMachine
_48c6b1b7-fec0-4ecf-91ff-0a2a2a3ad0cf,Network/Companies/SIN/08PEN/08   CPC/16/UN-01,08CPC-U1,1,UN-01,08SLC-230,895394,_39b2a70b-0b1b-499b-a6bb-262a225fbb5f,SynchronousMachine
_fa2f18f3-5644-41f7-8a13-0e365733a25f,Network/Companies/SIN/08PEN/08   EGU/34.5/UN-PTA,08EGU-U1,1,UN-PTA,08TXS-115,895990,_fd1d5577-ffef-419a-b911-e752c6861ebf,SynchronousMachine
_8537288a-6aaa-4d15-bdcd-37310eabb2ab,Network/Companies/SIN/08PEN/08   ERP/34.5/UN-PTA,08ERP-U1,1,UN-PTA,08MEP-115,896091,_9074e087-fabf-40d8-9778-fb4cb7439509,SynchronousMachine
_ecadacc8-aca9-4bd5-8d0f-ba37da8082fd,Network/Companies/SIN/01CEL/01   LER/10.5/UN-01,01LER-U1,1,UN-01,01LER-85,904580,_3b5d5f59-a9ce-4509-a1ee-cc7e48892ecd,SynchronousMachine
